Season_x,Tm,G_RHP,PA_RHP,AB_RHP,H_RHP,1B_RHP,2B_RHP,3B_RHP,HR_RHP,R_RHP,RBI_RHP,BB_RHP,IBB_RHP,SO_RHP,HBP_RHP,SF_RHP,SH_RHP,GDP_RHP,SB_RHP,CS_RHP,AVG_RHP,Season_y,G_LHP,PA_LHP,AB_LHP,H_LHP,1B_LHP,2B_LHP,3B_LHP,HR_LHP,R_LHP,RBI_LHP,BB_LHP,IBB_LHP,SO_LHP,HBP_LHP,SF_LHP,SH_LHP,GDP_LHP,SB_LHP,CS_LHP,AVG_LHP,Season,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO
2022,LAA,1488,4134,3753,888,570,160,22,136,451,437,309,23,1103,42,15,14,61,63,22,0.23661071,2022,910,1843,1670,377,255,59,9,54,172,163,140,5,436,12,10,11,34,14,5,0.2257485,2022,1656,5977,5423,1265,825,219,31,190,623,600,449,28,1539,54,25,25,95,77,27,0.23326572,0.29709293,0.39018993,0.68728286,0.15692421
2022,BAL,1500,4339,3888,936,584,210,17,125,520,492,338,8,959,59,38,11,72,75,23,0.24074074,2022,870,1710,1541,345,226,65,8,46,154,147,138,2,431,24,5,1,23,20,8,0.2238806,2022,1598,6049,5429,1281,810,275,25,171,674,639,476,10,1390,83,43,12,95,95,31,0.23595506,0.30509037,0.39031129,0.69540166,0.15435623
2022,BOS,1500,4597,4161,1062,676,263,9,114,524,504,338,18,1003,49,39,9,101,46,15,0.25522711,2022,865,1547,1378,365,232,89,3,41,211,200,140,5,370,14,10,4,30,6,5,0.26487663,2022,1604,6144,5539,1427,908,352,12,155,735,704,478,23,1373,63,49,13,131,52,20,0.25762773,0.32109643,0.40946019,0.73055662,0.15183246
2022,CHW,1529,4780,4399,1106,786,204,7,109,519,496,275,5,998,63,29,14,92,50,9,0.25142078,2022,718,1343,1212,329,219,68,2,40,167,158,113,4,271,10,6,2,35,8,1,0.27145215,2022,1610,6123,5611,1435,1005,272,9,149,686,654,388,9,1269,73,35,16,127,58,10,0.25574764,0.3104634,0.38709677,0.69756017,0.13134913
2022,CLE,1522,4584,4134,1069,731,209,28,101,543,515,339,26,795,57,39,15,77,92,18,0.25858732,2022,818,1579,1424,341,248,64,3,26,155,147,111,10,327,24,13,7,38,27,9,0.23946629,2022,1620,6163,5558,1410,979,273,31,127,698,662,450,36,1122,81,52,22,115,119,27,0.25368838,0.3160723,0.38251169,0.69858399,0.12882331
2022,DET,1495,4338,3973,869,608,158,21,82,382,360,279,3,1073,50,29,7,78,40,22,0.2187264,2022,782,1532,1405,371,260,77,6,28,175,170,101,5,340,8,15,3,30,7,2,0.26405694,2022,1594,5870,5378,1240,868,235,27,110,557,530,380,8,1413,58,44,10,108,47,24,0.23056898,0.28634812,0.34566753,0.63201565,0.11509855
2022,KCR,1494,4440,4029,968,668,172,25,103,448,430,336,4,973,30,31,13,74,91,25,0.24025813,2022,840,1570,1408,359,236,75,13,35,192,183,124,3,314,18,13,7,27,13,9,0.25497159,2022,1614,6010,5437,1327,904,247,38,138,640,613,460,7,1287,48,44,20,101,104,34,0.24406842,0.30639506,0.37962111,0.68601617,0.13555269
2022,MIN,1517,4392,3937,986,652,191,12,131,516,494,373,8,978,45,31,5,92,25,13,0.2504445,2022,890,1721,1539,370,239,78,6,47,180,174,145,3,375,17,15,5,41,13,4,0.24041585,2022,1663,6113,5476,1356,891,269,18,178,696,668,518,11,1353,62,46,10,133,38,17,0.247626,0.31727303,0.40084003,0.71811306,0.15321403
2022,NYY,1508,4623,4071,980,621,167,5,187,592,559,458,25,1041,53,32,7,88,90,27,0.24072709,2022,790,1549,1351,328,200,58,3,67,215,205,162,11,350,17,9,7,33,12,6,0.24278312,2022,1610,6172,5422,1308,821,225,8,254,807,764,620,36,1391,70,41,14,121,102,33,0.2412394,0.32471965,0.42622648,0.75094613,0.18498708
2022,OAK,1503,4331,3933,843,549,180,12,102,401,382,316,5,1044,43,21,16,86,60,14,0.2143402,2022,784,1532,1381,304,197,69,3,35,167,155,117,2,345,16,12,6,23,18,9,0.22013034,2022,1670,5863,5314,1147,746,249,15,137,568,537,433,7,1389,59,33,22,109,78,23,0.21584494,0.28069875,0.34569063,0.62638938,0.12984569
2022,SEA,1523,4338,3835,877,560,158,12,147,481,467,406,10,987,61,29,6,82,57,18,0.22868318,2022,933,1778,1540,359,231,71,7,50,209,196,190,7,410,28,16,3,38,26,9,0.23311688,2022,1649,6116,5375,1236,791,229,19,197,690,663,596,17,1397,89,45,9,120,83,27,0.22995349,0.31466011,0.3895814,0.70424151,0.15962791
2022,TBR,1518,4580,4114,962,619,222,13,108,497,472,386,9,1099,47,26,6,67,73,31,0.23383568,2022,821,1428,1298,332,223,74,4,31,169,162,114,4,296,10,5,1,26,22,6,0.25577812,2022,1628,6008,5412,1294,842,296,17,139,666,634,500,13,1395,57,31,7,93,95,37,0.2390983,0.3085,0.37712491,0.68562491,0.13802661
2022,TEX,1487,4219,3846,906,617,149,14,126,481,451,310,9,1029,27,29,7,58,90,23,0.23556942,2022,890,1810,1632,402,249,75,6,72,226,219,146,3,417,20,9,3,24,38,18,0.24632353,2022,1640,6029,5478,1308,866,224,20,198,707,670,456,12,1446,47,38,10,82,128,41,0.23877327,0.30088054,0.39539978,0.69628032,0.15662651
2022,TOR,1528,4919,4443,1180,765,247,10,158,619,603,391,6,996,44,27,7,112,60,29,0.26558632,2022,709,1239,1112,284,180,60,2,42,156,153,109,7,246,11,6,1,24,7,6,0.25539568,2022,1617,6158,5555,1464,945,307,12,200,775,756,500,13,1242,55,33,8,136,67,35,0.26354635,0.32866678,0.43114311,0.75980989,0.16759676
