,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
0,CPI_Food,2023,M04,April,04-01-2023,0.8,321.566,100.0
1,CPI_Food,2023,M03,March,03-01-2023,1.3,320.863,99.17551164018064
2,CPI_Food,2023,M02,February,02-01-2023,1.5,320.569,98.83070427490769
3,CPI_Food,2023,M01,January,01-01-2023,1.2,319.136,97.15006157274387
4,CPI_Food,2022,M12,December,12-01-2022,1.2,316.839,94.45610742977777
5,CPI_Food,2022,M11,November,11-01-2022,1.6,315.857,93.30440391719938
6,CPI_Food,2022,M10,October,10-01-2022,2.2,315.323,92.67812115170352
7,CPI_Food,2022,M09,September,09-01-2022,2.7,313.142,90.12021345217852
8,CPI_Food,2022,M08,August,08-01-2022,2.9,310.875,87.46144373424033
9,CPI_Food,2022,M07,July,07-01-2022,3.3,308.532,84.71354013956488
10,CPI_Food,2022,M06,June,06-01-2022,3.1,305.041,80.61924588049027
11,CPI_Food,2022,M05,May,05-01-2022,3.2,302.038,77.09728493520205
12,CPI_Food,2022,M04,April,04-01-2022,3.1,298.711,73.19533219961302
13,CPI_Food,2022,M03,March,03-01-2022,3.1,295.728,69.69682753767668
14,CPI_Food,2022,M02,February,02-01-2022,2.6,292.794,66.25579076995251
15,CPI_Food,2022,M01,January,01-01-2022,2.0,289.772,62.71154635547999
16,CPI_Food,2021,M12,December,12-01-2021,1.9,286.966,59.42062980120804
17,CPI_Food,2021,M11,November,11-01-2021,2.3,285.507,57.70949393068672
18,CPI_Food,2021,M10,October,10-01-2021,2.2,284.205,56.1824898844778
19,CPI_Food,2021,M09,September,09-01-2021,1.9,281.506,53.0170644461385
20,CPI_Food,2021,M08,August,08-01-2021,1.8,279.135,50.23632205477043
21,CPI_Food,2021,M07,July,07-01-2021,1.8,278.127,49.05412537383455
22,CPI_Food,2021,M06,June,06-01-2021,1.6,276.206,46.801149357884285
23,CPI_Food,2021,M05,May,05-01-2021,1.0,274.212,44.462557907699534
24,CPI_Food,2021,M04,April,04-01-2021,0.8,273.09,43.14666041165777
25,CPI_Food,2021,M03,March,03-01-2021,0.7,271.812,41.647803905471214
26,CPI_Food,2021,M02,February,02-01-2021,0.9,271.363,41.12121034422098
27,CPI_Food,2021,M01,January,01-01-2021,0.4,270.938,40.62276432299303
28,CPI_Food,2020,M12,December,12-01-2020,0.3,270.023,39.549639359643514
29,CPI_Food,2020,M11,November,11-01-2020,0.0,269.069,38.430774643757736
30,CPI_Food,2020,M10,October,10-01-2020,0.4,269.828,39.3209405969624
31,CPI_Food,2020,M09,September,09-01-2020,-0.2,269.163,38.54101917551168
32,CPI_Food,2020,M08,August,08-01-2020,0.2,269.079,38.44250278543368
33,CPI_Food,2020,M07,July,07-01-2020,0.8,268.863,38.18917492523312
34,CPI_Food,2020,M06,June,06-01-2020,2.7,269.77,39.25291737524189
35,CPI_Food,2020,M05,May,05-01-2020,2.5,268.439,37.6919017181728
36,CPI_Food,2020,M04,April,04-01-2020,2.2,266.757,35.71922828827775
37,CPI_Food,2020,M03,March,03-01-2020,1.1,262.708,30.970503723685034
38,CPI_Food,2020,M02,February,02-01-2020,0.9,261.876,29.994722336245815
39,CPI_Food,2020,M01,January,01-01-2020,0.5,261.057,29.034187532985438
40,CPI_Food,2019,M12,December,12-01-2019,0.3,259.823,27.586934850172984
41,CPI_Food,2019,M11,November,11-01-2019,0.4,259.467,27.169413006509117
42,CPI_Food,2019,M10,October,10-01-2019,0.5,259.632,27.36292734416234
43,CPI_Food,2019,M09,September,09-01-2019,0.3,258.943,26.55485838268926
44,CPI_Food,2019,M08,August,08-01-2019,0.1,258.41,25.929748431361098
45,CPI_Food,2019,M07,July,07-01-2019,0.2,258.274,25.77024570456813
46,CPI_Food,2019,M06,June,06-01-2019,0.1,258.064,25.523954729373173
47,CPI_Food,2019,M05,May,05-01-2019,0.3,258.11,25.577904181082545
48,CPI_Food,2019,M04,April,04-01-2019,0.5,257.708,25.106432885709307
49,CPI_Food,2019,M03,March,03-01-2019,1.0,257.724,25.12519791239079
50,CPI_Food,2019,M02,February,02-01-2019,1.1,257.222,24.536445200258015
51,CPI_Food,2019,M01,January,01-01-2019,0.8,256.417,23.592329795343915
52,CPI_Food,2018,M12,December,12-01-2018,0.3,255.21,22.176743095056615
53,CPI_Food,2018,M11,November,11-01-2018,0.1,254.379,21.20213452178503
54,CPI_Food,2018,M10,October,10-01-2018,0.2,254.358,21.177505424265547
55,CPI_Food,2018,M09,September,09-01-2018,0.5,254.393,21.218553920131374
56,CPI_Food,2018,M08,August,08-01-2018,0.4,254.077,20.847944643171303
57,CPI_Food,2018,M07,July,07-01-2018,0.2,253.746,20.459743153697325
58,CPI_Food,2018,M06,June,06-01-2018,0.3,253.231,19.855743857385807
