,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
496,CPI_Motor_Vehicles,2023,M04,April,04-01-2023,0.8,127.794,93.67623307243132
497,CPI_Motor_Vehicles,2023,M03,March,03-01-2023,-1.0,126.256,88.89924214188095
498,CPI_Motor_Vehicles,2023,M02,February,02-01-2023,-1.6,125.992,88.07926450490741
499,CPI_Motor_Vehicles,2023,M01,January,01-01-2023,-1.8,126.813,90.62927071685921
500,CPI_Motor_Vehicles,2022,M12,December,12-01-2022,-1.8,127.494,92.74444030314322
501,CPI_Motor_Vehicles,2022,M11,November,11-01-2022,-1.0,128.031,94.41234936016895
502,CPI_Motor_Vehicles,2022,M10,October,10-01-2022,0.2,129.122,97.80096906448007
503,CPI_Motor_Vehicles,2022,M09,September,09-01-2022,0.6,129.83,100.0
504,CPI_Motor_Vehicles,2022,M08,August,08-01-2022,1.4,129.362,98.54640327991049
505,CPI_Motor_Vehicles,2022,M07,July,07-01-2022,1.7,128.822,96.86917629519192
506,CPI_Motor_Vehicles,2022,M06,June,06-01-2022,2.3,129.062,97.61461051062244
507,CPI_Motor_Vehicles,2022,M05,May,05-01-2022,-0.1,127.62,93.13579326624422
508,CPI_Motor_Vehicles,2022,M04,April,04-01-2022,-1.0,126.689,90.24412970555343
509,CPI_Motor_Vehicles,2022,M03,March,03-01-2022,-0.3,126.176,88.65076407007079
510,CPI_Motor_Vehicles,2022,M02,February,02-01-2022,3.4,127.726,93.46502671139268
511,CPI_Motor_Vehicles,2022,M01,January,01-01-2022,6.0,127.97,94.22288483041368
512,CPI_Motor_Vehicles,2021,M12,December,12-01-2021,7.0,126.534,89.76270344142128
513,CPI_Motor_Vehicles,2021,M11,November,11-01-2021,4.8,123.492,80.31432476083984
514,CPI_Motor_Vehicles,2021,M10,October,10-01-2021,2.3,120.727,71.72630140390109
515,CPI_Motor_Vehicles,2021,M09,September,09-01-2021,0.4,118.229,63.96757361162875
516,CPI_Motor_Vehicles,2021,M08,August,08-01-2021,5.0,117.844,62.77177289104232
517,CPI_Motor_Vehicles,2021,M07,July,07-01-2021,9.3,118.033,63.35880233569385
518,CPI_Motor_Vehicles,2021,M06,June,06-01-2021,13.5,117.804,62.64753385513726
519,CPI_Motor_Vehicles,2021,M05,May,05-01-2021,8.6,112.238,45.35967200894519
520,CPI_Motor_Vehicles,2021,M04,April,04-01-2021,4.2,108.021,32.261771648651994
521,CPI_Motor_Vehicles,2021,M03,March,03-01-2021,-0.6,103.82,19.213566902720807
522,CPI_Motor_Vehicles,2021,M02,February,02-01-2021,-0.8,103.394,17.890421170331727
523,CPI_Motor_Vehicles,2021,M01,January,01-01-2021,-0.1,103.679,18.77562430115542
524,CPI_Motor_Vehicles,2020,M12,December,12-01-2020,1.5,104.402,21.021244875139764
525,CPI_Motor_Vehicles,2020,M11,November,11-01-2020,3.3,104.18,20.33171822586658
526,CPI_Motor_Vehicles,2020,M10,October,10-01-2020,5.1,103.783,19.09864579450863
527,CPI_Motor_Vehicles,2020,M09,September,09-01-2020,5.2,102.87,16.26288979997516
528,CPI_Motor_Vehicles,2020,M08,August,08-01-2020,2.3,100.845,9.973288607280399
529,CPI_Motor_Vehicles,2020,M07,July,07-01-2020,0.1,98.74,3.4352093427754817
530,CPI_Motor_Vehicles,2020,M06,June,06-01-2020,-1.6,97.819,0.5746055410610083
531,CPI_Motor_Vehicles,2020,M05,May,05-01-2020,-1.1,98.571,2.9102994160765228
532,CPI_Motor_Vehicles,2020,M04,April,04-01-2020,-0.9,98.616,3.0500683314697445
533,CPI_Motor_Vehicles,2020,M03,March,03-01-2020,0.0,99.448,5.634240278295417
534,CPI_Motor_Vehicles,2020,M02,February,02-01-2020,0.6,99.642,6.236799602435069
535,CPI_Motor_Vehicles,2020,M01,January,01-01-2020,0.4,99.495,5.780221145483922
536,CPI_Motor_Vehicles,2019,M12,December,12-01-2019,0.4,99.473,5.71188967573611
537,CPI_Motor_Vehicles,2019,M11,November,11-01-2019,-0.2,99.034,4.348366256677864
538,CPI_Motor_Vehicles,2019,M10,October,10-01-2019,0.1,99.071,4.463287364890039
539,CPI_Motor_Vehicles,2019,M09,September,09-01-2019,-0.1,99.066,4.447757485401918
