,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
248,PPI_Air_Freight,2023,M04,April,04-01-2023,-0.9,121.866,1.0615505226480837
249,PPI_Air_Freight,2023,M03,March,03-01-2023,0.3,121.957,1.062343205574913
250,PPI_Air_Freight,2023,M02,February,02-01-2023,-0.4,123.203,1.0731968641114984
251,PPI_Air_Freight,2023,M01,January,01-01-2023,-2.5,122.922,1.0707491289198607
252,PPI_Air_Freight,2022,M12,December,12-01-2022,-6.1,121.642,1.0595993031358886
253,PPI_Air_Freight,2022,M11,November,11-01-2022,-5.1,123.689,1.07743031358885
254,PPI_Air_Freight,2022,M10,October,10-01-2022,-4.7,126.069,1.0981620209059233
255,PPI_Air_Freight,2022,M09,September,09-01-2022,-2.8,129.491,1.1279703832752614
256,PPI_Air_Freight,2022,M08,August,08-01-2022,0.5,130.307,1.1350783972125436
257,PPI_Air_Freight,2022,M07,July,07-01-2022,1.8,132.235,1.1518728222996517
258,PPI_Air_Freight,2022,M06,June,06-01-2022,4.3,133.161,1.1599390243902439
259,PPI_Air_Freight,2022,M05,May,05-01-2022,5.2,129.666,1.1294947735191638
260,PPI_Air_Freight,2022,M04,April,04-01-2022,2.5,129.937,1.1318554006968642
261,PPI_Air_Freight,2022,M03,March,03-01-2022,0.8,127.61,1.1115853658536585
262,PPI_Air_Freight,2022,M02,February,02-01-2022,-1.0,123.275,1.0738240418118468
263,PPI_Air_Freight,2022,M01,January,01-01-2022,4.5,126.794,1.1044773519163764
264,PPI_Air_Freight,2021,M12,December,12-01-2021,7.5,126.66,1.1033101045296168
265,PPI_Air_Freight,2021,M11,November,11-01-2021,7.5,124.493,1.0844337979094076
266,PPI_Air_Freight,2021,M10,October,10-01-2021,5.6,121.327,1.056855400696864
267,PPI_Air_Freight,2021,M09,September,09-01-2021,1.2,117.777,1.025932055749129
268,PPI_Air_Freight,2021,M08,August,08-01-2021,1.4,115.814,1.0088327526132403
269,PPI_Air_Freight,2021,M07,July,07-01-2021,0.6,114.903,1.000897212543554
270,PPI_Air_Freight,2021,M06,June,06-01-2021,0.6,116.4,1.0139372822299653
271,PPI_Air_Freight,2021,M05,May,05-01-2021,-0.6,114.2,0.9947735191637631
