,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
124,PPI_Trucking,2023,M04,April,04-01-2023,-4.3,388.056,74.07510819489039
125,PPI_Trucking,2023,M03,March,03-01-2023,-0.1,393.394,76.94133313287298
126,PPI_Trucking,2023,M02,February,02-01-2023,-2.5,398.398,79.62821765697656
127,PPI_Trucking,2023,M01,January,01-01-2023,1.4,405.547,83.46685424027321
128,PPI_Trucking,2022,M12,December,12-01-2022,-3.9,393.794,77.15611207165024
129,PPI_Trucking,2022,M11,November,11-01-2022,0.1,408.645,85.13031712110308
130,PPI_Trucking,2022,M10,October,10-01-2022,-4.5,400.106,80.54532372555546
131,PPI_Trucking,2022,M09,September,09-01-2022,-6.1,409.58,85.63236289049495
132,PPI_Trucking,2022,M08,August,08-01-2022,-3.9,408.179,84.88009965742756
133,PPI_Trucking,2022,M07,July,07-01-2022,2.0,419.098,90.74302773869995
134,PPI_Trucking,2022,M06,June,06-01-2022,8.0,436.338,100.0
135,PPI_Trucking,2022,M05,May,05-01-2022,14.1,424.65,93.72415940892834
136,PPI_Trucking,2022,M04,April,04-01-2022,9.3,410.705,86.236428655806
137,PPI_Trucking,2022,M03,March,03-01-2022,9.8,403.855,82.55833932924538
138,PPI_Trucking,2022,M02,February,02-01-2022,1.2,372.082,65.49791127482038
139,PPI_Trucking,2022,M01,January,01-01-2022,5.3,375.734,67.45884298585679
140,PPI_Trucking,2021,M12,December,12-01-2021,4.2,367.796,63.196554945822
141,PPI_Trucking,2021,M11,November,11-01-2021,4.9,367.521,63.04889442541265
142,PPI_Trucking,2021,M10,October,10-01-2021,1.6,356.931,57.36262202128458
143,PPI_Trucking,2021,M09,September,09-01-2021,-0.7,352.878,55.18637442412396
144,PPI_Trucking,2021,M08,August,08-01-2021,2.0,350.281,53.791922164112584
145,PPI_Trucking,2021,M07,July,07-01-2021,2.4,351.195,54.28269203921863
146,PPI_Trucking,2021,M06,June,06-01-2021,4.0,355.2,56.43316616372598
147,PPI_Trucking,2021,M05,May,05-01-2021,3.5,343.5,50.15088220449102
148,PPI_Trucking,2021,M04,April,04-01-2021,3.4,343.0,49.88240853101944
149,PPI_Trucking,2021,M03,March,03-01-2021,8.3,341.5,49.07698751060471
150,PPI_Trucking,2021,M02,February,02-01-2021,4.9,331.8,43.868598245256074
151,PPI_Trucking,2021,M01,January,01-01-2021,3.7,331.6,43.76120877586745
152,PPI_Trucking,2020,M12,December,12-01-2020,0.8,315.4,35.062661755388255
153,PPI_Trucking,2020,M11,November,11-01-2020,-1.2,316.4,35.59960910233141
154,PPI_Trucking,2020,M10,October,10-01-2020,-0.4,319.7,37.37153534724384
155,PPI_Trucking,2020,M09,September,09-01-2020,-0.3,312.8,33.66659865333606
156,PPI_Trucking,2020,M08,August,08-01-2020,1.1,320.1,37.58631428602112
157,PPI_Trucking,2020,M07,July,07-01-2020,1.0,320.9,38.01587216357562
158,PPI_Trucking,2020,M06,June,06-01-2020,-1.9,313.8,34.20354600027922
159,PPI_Trucking,2020,M05,May,05-01-2020,-1.7,316.5,35.65330383702574
160,PPI_Trucking,2020,M04,April,04-01-2020,-2.7,317.6,36.24394591866323
