,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
372,PPI_Water_Freight,2023,M04,April,04-01-2023,0.5,165.701,97.79909107005842
373,PPI_Water_Freight,2023,M03,March,03-01-2023,-1.3,166.551,98.30077318066456
374,PPI_Water_Freight,2023,M02,February,02-01-2023,-1.3,166.993,98.56164787817977
375,PPI_Water_Freight,2023,M01,January,01-01-2023,-2.7,164.87,97.30862303015995
376,PPI_Water_Freight,2022,M12,December,12-01-2022,-0.2,168.687,99.56147081390544
377,PPI_Water_Freight,2022,M11,November,11-01-2022,1.1,169.126,99.82057486867733
378,PPI_Water_Freight,2022,M10,October,10-01-2022,3.1,169.43,100.0
379,PPI_Water_Freight,2022,M09,September,09-01-2022,5.4,169.074,99.7898837277932
380,PPI_Water_Freight,2022,M08,August,08-01-2022,5.3,167.226,98.69916779791063
381,PPI_Water_Freight,2022,M07,July,07-01-2022,13.4,164.348,97.000531192823
382,PPI_Water_Freight,2022,M06,June,06-01-2022,18.1,160.38,94.65856105766393
383,PPI_Water_Freight,2022,M05,May,05-01-2022,15.8,158.8,93.72602254618427
384,PPI_Water_Freight,2022,M04,April,04-01-2022,6.9,144.987,85.57339314171043
385,PPI_Water_Freight,2022,M03,March,03-01-2022,1.1,135.856,80.18414684530484
386,PPI_Water_Freight,2022,M02,February,02-01-2022,3.9,137.087,80.9107005843121
387,PPI_Water_Freight,2022,M01,January,01-01-2022,2.6,135.642,80.05784099628166
388,PPI_Water_Freight,2021,M12,December,12-01-2021,4.4,134.384,79.31535147258454
389,PPI_Water_Freight,2021,M11,November,11-01-2021,5.0,131.903,77.85102992386236
390,PPI_Water_Freight,2021,M10,October,10-01-2021,4.6,132.199,78.02573334120287
391,PPI_Water_Freight,2021,M09,September,09-01-2021,2.9,128.755,75.99303547187628
392,PPI_Water_Freight,2021,M08,August,08-01-2021,3.4,125.679,74.1775364457298
393,PPI_Water_Freight,2021,M07,July,07-01-2021,6.3,126.369,74.58478427669245
394,PPI_Water_Freight,2021,M06,June,06-01-2021,7.0,125.1,73.83580239626984
395,PPI_Water_Freight,2021,M05,May,05-01-2021,5.2,121.6,71.77005252906804
396,PPI_Water_Freight,2021,M04,April,04-01-2021,4.8,118.9,70.17647406008382
397,PPI_Water_Freight,2021,M03,March,03-01-2021,2.2,116.9,68.99604556453993
398,PPI_Water_Freight,2021,M02,February,02-01-2021,1.1,115.6,68.2287670424364
399,PPI_Water_Freight,2021,M01,January,01-01-2021,-1.8,113.5,66.98931712211532
400,PPI_Water_Freight,2020,M12,December,12-01-2020,-1.5,114.4,67.52050994511008
401,PPI_Water_Freight,2020,M11,November,11-01-2020,-2.1,114.3,67.46148852033288
402,PPI_Water_Freight,2020,M10,October,10-01-2020,-1.1,115.6,68.2287670424364
403,PPI_Water_Freight,2020,M09,September,09-01-2020,-0.7,116.2,68.58289559109957
404,PPI_Water_Freight,2020,M08,August,08-01-2020,-0.1,116.8,68.93702413976273
405,PPI_Water_Freight,2020,M07,July,07-01-2020,-0.8,116.9,68.99604556453993
406,PPI_Water_Freight,2020,M06,June,06-01-2020,-3.8,117.0,69.05506698931711
407,PPI_Water_Freight,2020,M05,May,05-01-2020,-4.3,116.9,68.99604556453993
408,PPI_Water_Freight,2020,M04,April,04-01-2020,-6.7,117.8,69.52723838753468
409,PPI_Water_Freight,2020,M03,March,03-01-2020,-3.3,121.6,71.77005252906804
410,PPI_Water_Freight,2020,M02,February,02-01-2020,-2.3,122.1,72.06515965295401
411,PPI_Water_Freight,2020,M01,January,01-01-2020,3.3,126.3,74.54405949359617
412,PPI_Water_Freight,2019,M12,December,12-01-2019,2.4,125.7,74.18993094493301
413,PPI_Water_Freight,2019,M11,November,11-01-2019,2.5,125.0,73.77678097149266
414,PPI_Water_Freight,2019,M10,October,10-01-2019,-1.3,122.3,72.18320250250841
415,PPI_Water_Freight,2019,M09,September,09-01-2019,-0.2,122.7,72.41928820161718
416,PPI_Water_Freight,2019,M08,August,08-01-2019,-0.7,122.0,72.00613822817684
417,PPI_Water_Freight,2019,M07,July,07-01-2019,1.1,123.9,73.12754529894352
418,PPI_Water_Freight,2019,M06,June,06-01-2019,0.7,123.0,72.59635247594876
419,PPI_Water_Freight,2019,M05,May,05-01-2019,1.1,122.9,72.53733105117158
420,PPI_Water_Freight,2019,M04,April,04-01-2019,1.8,122.6,72.36026677683999
421,PPI_Water_Freight,2019,M03,March,03-01-2019,1.7,122.1,72.06515965295401
422,PPI_Water_Freight,2019,M02,February,02-01-2019,1.2,121.6,71.77005252906804
423,PPI_Water_Freight,2019,M01,January,01-01-2019,0.2,120.4,71.06179543174173
424,PPI_Water_Freight,2018,M12,December,12-01-2018,0.8,120.1,70.88473115741013
425,PPI_Water_Freight,2018,M11,November,11-01-2018,0.9,120.2,70.94375258218733
426,PPI_Water_Freight,2018,M10,October,10-01-2018,0.8,120.1,70.88473115741013
427,PPI_Water_Freight,2018,M09,September,09-01-2018,1.4,119.1,70.29451690963819
428,PPI_Water_Freight,2018,M08,August,08-01-2018,3.2,119.1,70.29451690963819
429,PPI_Water_Freight,2018,M07,July,07-01-2018,5.2,119.1,70.29451690963819
430,PPI_Water_Freight,2018,M06,June,06-01-2018,4.3,117.4,69.2911526884259
431,PPI_Water_Freight,2018,M05,May,05-01-2018,2.3,115.4,68.11072419288202
432,PPI_Water_Freight,2018,M04,April,04-01-2018,0.4,113.2,66.81225284778375
