Year,Month,Date,Value,3-Month % Change,NormValue
2013,M01,1/1/2013,0.609,1.2,65.65656566
2013,M02,2/1/2013,0.611,1.8,67.67676768
2013,M03,3/1/2013,0.609,0.5,65.65656566
2013,M04,4/1/2013,0.597,-2,53.53535354
2013,M05,5/1/2013,0.603,-1.3,59.5959596
2013,M06,6/1/2013,0.603,-1,59.5959596
2013,M07,7/1/2013,0.602,0.8,58.58585859
2013,M08,8/1/2013,0.595,-1.3,51.51515152
2013,M09,9/1/2013,0.601,-0.3,57.57575758
2013,M10,10/1/2013,0.586,-2.7,42.42424242
2013,M11,11/1/2013,0.587,-1.3,43.43434343
2013,M12,12/1/2013,0.592,-1.5,48.48484848
2014,M01,1/1/2014,0.595,1.5,51.51515152
2014,M02,2/1/2014,0.599,2,55.55555556
2014,M03,3/1/2014,0.597,0.8,53.53535354
2014,M04,4/1/2014,0.597,0.3,53.53535354
2014,M05,5/1/2014,0.603,0.7,59.5959596
2014,M06,6/1/2014,0.607,1.7,63.63636364
2014,M07,7/1/2014,0.606,1.5,62.62626263
2014,M08,8/1/2014,0.608,0.8,64.64646465
2014,M09,9/1/2014,0.606,-0.2,62.62626263
2014,M10,10/1/2014,0.582,-4,38.38383838
2014,M11,11/1/2014,0.592,-2.6,48.48484848
2014,M12,12/1/2014,0.585,-3.5,41.41414141
2015,M01,1/1/2015,0.583,0.2,39.39393939
2015,M02,2/1/2015,0.591,-0.2,47.47474747
2015,M03,3/1/2015,0.593,1.4,49.49494949
2015,M04,4/1/2015,0.597,2.4,53.53535354
2015,M05,5/1/2015,0.582,-1.5,38.38383838
2015,M06,6/1/2015,0.574,-3.2,30.3030303
2015,M07,7/1/2015,0.581,-2.7,37.37373737
2015,M08,8/1/2015,0.58,-0.3,36.36363636
2015,M09,9/1/2015,0.58,1,36.36363636
2015,M10,10/1/2015,0.577,-0.7,33.33333333
2015,M11,11/1/2015,0.575,-0.9,31.31313131
2015,M12,12/1/2015,0.58,0,36.36363636
2016,M01,1/1/2016,0.581,0.7,37.37373737
2016,M02,2/1/2016,0.573,-0.3,29.29292929
2016,M03,3/1/2016,0.586,1,42.42424242
2016,M04,4/1/2016,0.574,-1.2,30.3030303
2016,M05,5/1/2016,0.57,-0.5,26.26262626
2016,M06,6/1/2016,0.569,-2.9,25.25252525
2016,M07,7/1/2016,0.567,-1.2,23.23232323
2016,M08,8/1/2016,0.562,-1.4,18.18181818
2016,M09,9/1/2016,0.575,1.1,31.31313131
2016,M10,10/1/2016,0.57,0.5,26.26262626
2016,M11,11/1/2016,0.573,2,29.29292929
2016,M12,12/1/2016,0.576,0.2,32.32323232
2017,M01,1/1/2017,0.573,0.5,29.29292929
2017,M02,2/1/2017,0.573,0,29.29292929
2017,M03,3/1/2017,0.571,-0.9,27.27272727
2017,M04,4/1/2017,0.571,-0.3,27.27272727
2017,M05,5/1/2017,0.564,-1.6,20.2020202
2017,M06,6/1/2017,0.572,0.2,28.28282828
2017,M07,7/1/2017,0.565,-1.1,21.21212121
2017,M08,8/1/2017,0.561,-0.5,17.17171717
2017,M09,9/1/2017,0.544,-4.9,0
2017,M10,10/1/2017,0.548,-3,4.04040404
2017,M11,11/1/2017,0.551,-1.8,7.070707071
2017,M12,12/1/2017,0.558,2.6,14.14141414
2018,M01,1/1/2018,0.568,3.6,24.24242424
2018,M02,2/1/2018,0.574,4.2,30.3030303
2018,M03,3/1/2018,0.582,4.3,38.38383838
2018,M04,4/1/2018,0.578,1.8,34.34343434
2018,M05,5/1/2018,0.575,0.2,31.31313131
2018,M06,6/1/2018,0.575,-1.2,31.31313131
2018,M07,7/1/2018,0.575,-0.5,31.31313131
2018,M08,8/1/2018,0.569,-1,25.25252525
2018,M09,9/1/2018,0.573,-0.3,29.29292929
2018,M10,10/1/2018,0.574,-0.2,30.3030303
2018,M11,11/1/2018,0.566,-0.5,22.22222222
2018,M12,12/1/2018,0.577,0.7,33.33333333
2019,M01,1/1/2019,0.576,0.3,32.32323232
2019,M02,2/1/2019,0.571,0.9,27.27272727
2019,M03,3/1/2019,0.581,0.7,37.37373737
2019,M04,4/1/2019,0.567,-1.6,23.23232323
2019,M05,5/1/2019,0.579,1.4,35.35353535
2019,M06,6/1/2019,0.574,-1.2,30.3030303
2019,M07,7/1/2019,0.569,0.4,25.25252525
2019,M08,8/1/2019,0.578,-0.2,34.34343434
2019,M09,9/1/2019,0.569,-0.9,25.25252525
2019,M10,10/1/2019,0.573,0.7,29.29292929
2019,M11,11/1/2019,0.573,-0.9,29.29292929
2019,M12,12/1/2019,0.573,0.7,29.29292929
2020,M01,1/1/2020,0.57,-0.5,26.26262626
2020,M02,2/1/2020,0.574,0.2,30.3030303
2020,M03,3/1/2020,0.576,0.5,32.32323232
2020,M04,4/1/2020,0.581,1.9,37.37373737
2020,M05,5/1/2020,0.589,2.6,45.45454545
2020,M06,6/1/2020,0.588,2.1,44.44444444
2020,M07,7/1/2020,0.58,-0.2,36.36363636
2020,M08,8/1/2020,0.576,-2.2,32.32323232
2020,M09,9/1/2020,0.574,-2.4,30.3030303
2020,M10,10/1/2020,0.577,-0.5,33.33333333
2020,M11,11/1/2020,0.578,0.3,34.34343434
2020,M12,12/1/2020,0.572,-0.3,28.28282828
2021,M01,1/1/2021,0.597,3.5,53.53535354
2021,M02,2/1/2021,0.59,2.1,46.46464646
2021,M03,3/1/2021,0.594,3.8,50.50505051
2021,M04,4/1/2021,0.604,1.2,60.60606061
2021,M05,5/1/2021,0.6,1.7,56.56565657
2021,M06,6/1/2021,0.595,0.2,51.51515152
2021,M07,7/1/2021,0.594,-1.7,50.50505051
2021,M08,8/1/2021,0.589,-1.8,45.45454545
2021,M09,9/1/2021,0.597,0.3,53.53535354
2021,M10,10/1/2021,0.6,1,56.56565657
2021,M11,11/1/2021,0.619,5.1,75.75757576
2021,M12,12/1/2021,0.622,4.2,78.78787879
2022,M01,1/1/2022,0.63,5,86.86868687
2022,M02,2/1/2022,0.628,1.5,84.84848485
