Year,Month,Date,Value,3-Month % Change,NormValue
2013,M01,1/1/2013,1.933,-1.4,20.16574586
2013,M02,2/1/2013,1.965,0.1,21.04972376
2013,M03,3/1/2013,1.925,-4.1,19.94475138
2013,M04,4/1/2013,1.918,-0.8,19.75138122
2013,M05,5/1/2013,1.87,-4.8,18.42541436
2013,M06,6/1/2013,1.859,-3.4,18.12154696
2013,M07,7/1/2013,1.833,-4.4,17.40331492
2013,M08,8/1/2013,1.838,-1.7,17.54143646
2013,M09,9/1/2013,1.897,2,19.17127072
2013,M10,10/1/2013,1.925,5,19.94475138
2013,M11,11/1/2013,1.925,4.7,19.94475138
2013,M12,12/1/2013,2.026,6.8,22.73480663
2014,M01,1/1/2014,2.008,4.3,22.23756906
2014,M02,2/1/2014,1.998,3.8,21.96132597
2014,M03,3/1/2014,2.061,1.7,23.70165746
2014,M04,4/1/2014,2.119,5.5,25.3038674
2014,M05,5/1/2014,1.996,-0.1,21.90607735
2014,M06,6/1/2014,1.948,-5.5,20.5801105
2014,M07,7/1/2014,1.95,-8,20.63535912
2014,M08,8/1/2014,1.979,-0.9,21.43646409
2014,M09,9/1/2014,1.97,1.1,21.1878453
2014,M10,10/1/2014,1.951,0.1,20.66298343
2014,M11,11/1/2014,2.032,2.7,22.90055249
2014,M12,12/1/2014,2.21,12.2,27.81767956
2015,M01,1/1/2015,2.113,8.3,25.13812155
2015,M02,2/1/2015,2.088,2.8,24.44751381
2015,M03,3/1/2015,2.133,-3.5,25.69060773
2015,M04,4/1/2015,2.065,-2.3,23.8121547
2015,M05,5/1/2015,1.962,-6,20.96685083
2015,M06,6/1/2015,2.57,20.5,37.76243094
2015,M07,7/1/2015,2.57,24.5,37.76243094
2015,M08,8/1/2015,2.943,50,48.06629834
2015,M09,9/1/2015,2.966,15.4,48.70165746
2015,M10,10/1/2015,2.808,9.3,44.33701657
2015,M11,11/1/2015,2.664,-9.5,40.35911602
2015,M12,12/1/2015,2.751,-7.2,42.76243094
2016,M01,1/1/2016,2.328,-17.1,31.07734807
2016,M02,2/1/2016,2.267,-14.9,29.39226519
2016,M03,3/1/2016,2.081,-24.4,24.25414365
2016,M04,4/1/2016,1.793,-23,16.29834254
2016,M05,5/1/2016,1.684,-25.7,13.28729282
2016,M06,6/1/2016,1.491,-28.4,7.955801105
2016,M07,7/1/2016,1.546,-13.8,9.475138122
2016,M08,8/1/2016,1.455,-13.6,6.961325967
2016,M09,9/1/2016,1.471,-1.3,7.403314917
2016,M10,10/1/2016,1.39,-10.1,5.165745856
2016,M11,11/1/2016,1.321,-9.2,3.259668508
2016,M12,12/1/2016,1.383,-6,4.972375691
2017,M01,1/1/2017,1.599,15,10.93922652
2017,M02,2/1/2017,1.464,10.8,7.209944751
2017,M03,3/1/2017,1.404,1.5,5.552486188
2017,M04,4/1/2017,1.409,-11.9,5.690607735
2017,M05,5/1/2017,1.414,-3.4,5.828729282
2017,M06,6/1/2017,1.332,-5.1,3.563535912
2017,M07,7/1/2017,1.333,-5.4,3.591160221
2017,M08,8/1/2017,1.367,-3.3,4.53038674
2017,M09,9/1/2017,1.422,6.8,6.049723757
2017,M10,10/1/2017,1.54,15.5,9.309392265
2017,M11,11/1/2017,1.506,10.2,8.370165746
2017,M12,12/1/2017,1.815,27.6,16.90607735
2018,M01,1/1/2018,1.769,14.9,15.63535912
2018,M02,2/1/2018,1.755,16.5,15.24861878
2018,M03,3/1/2018,1.831,0.9,17.3480663
2018,M04,4/1/2018,2.081,17.6,24.25414365
2018,M05,5/1/2018,1.987,13.2,21.65745856
2018,M06,6/1/2018,1.628,-11.1,11.74033149
2018,M07,7/1/2018,1.725,-17.1,14.4198895
2018,M08,8/1/2018,1.622,-18.4,11.57458564
2018,M09,9/1/2018,1.651,1.4,12.37569061
2018,M10,10/1/2018,1.66,-3.8,12.62430939
2018,M11,11/1/2018,1.596,-1.6,10.85635359
2018,M12,12/1/2018,1.595,-3.4,10.82872928
2019,M01,1/1/2019,1.554,-6.4,9.696132597
2019,M02,2/1/2019,1.557,-2.4,9.779005525
2019,M03,3/1/2019,1.544,-3.2,9.419889503
2019,M04,4/1/2019,1.463,-5.9,7.182320442
2019,M05,5/1/2019,1.362,-12.5,4.392265193
2019,M06,6/1/2019,1.203,-22.1,0
2019,M07,7/1/2019,1.243,-15,1.104972376
2019,M08,8/1/2019,1.219,-10.5,0.44198895
