Year,Month,Date,Value,3-Month % Change,NormValue
2013,M01,1/1/2013,0.129,0.8,2.5
2013,M02,2/1/2013,0.129,1.6,2.5
2013,M03,3/1/2013,0.128,0.8,0
2013,M04,4/1/2013,0.128,-0.8,0
2013,M05,5/1/2013,0.131,1.6,7.5
2013,M06,6/1/2013,0.137,7,22.5
2013,M07,7/1/2013,0.137,7,22.5
2013,M08,8/1/2013,0.137,4.6,22.5
2013,M09,9/1/2013,0.137,0,22.5
2013,M10,10/1/2013,0.132,-3.6,10
2013,M11,11/1/2013,0.13,-5.1,5
2013,M12,12/1/2013,0.131,-4.4,7.5
2014,M01,1/1/2014,0.134,1.5,15
2014,M02,2/1/2014,0.134,3.1,15
2014,M03,3/1/2014,0.135,3.1,17.5
2014,M04,4/1/2014,0.131,-2.2,7.5
2014,M05,5/1/2014,0.136,1.5,20
2014,M06,6/1/2014,0.143,5.9,37.5
2014,M07,7/1/2014,0.143,9.2,37.5
2014,M08,8/1/2014,0.143,5.1,37.5
2014,M09,9/1/2014,0.141,-1.4,32.5
2014,M10,10/1/2014,0.136,-4.9,20
2014,M11,11/1/2014,0.134,-6.3,15
2014,M12,12/1/2014,0.135,-4.3,17.5
2015,M01,1/1/2015,0.138,1.5,25
2015,M02,2/1/2015,0.138,3,25
2015,M03,3/1/2015,0.136,0.7,20
2015,M04,4/1/2015,0.137,-0.7,22.5
2015,M05,5/1/2015,0.137,-0.7,22.5
2015,M06,6/1/2015,0.143,5.1,37.5
2015,M07,7/1/2015,0.142,3.6,35
2015,M08,8/1/2015,0.142,3.6,35
2015,M09,9/1/2015,0.141,-1.4,32.5
2015,M10,10/1/2015,0.136,-4.2,20
2015,M11,11/1/2015,0.134,-5.6,15
2015,M12,12/1/2015,0.133,-5.7,12.5
2016,M01,1/1/2016,0.134,-1.5,15
2016,M02,2/1/2016,0.134,0,15
2016,M03,3/1/2016,0.134,0.8,15
2016,M04,4/1/2016,0.134,0,15
2016,M05,5/1/2016,0.133,-0.7,12.5
2016,M06,6/1/2016,0.138,3,25
2016,M07,7/1/2016,0.139,3.7,27.5
2016,M08,8/1/2016,0.139,4.5,27.5
2016,M09,9/1/2016,0.139,0.7,27.5
2016,M10,10/1/2016,0.134,-3.6,15
2016,M11,11/1/2016,0.131,-5.8,7.5
2016,M12,12/1/2016,0.133,-4.3,12.5
2017,M01,1/1/2017,0.134,0,15
2017,M02,2/1/2017,0.135,3.1,17.5
2017,M03,3/1/2017,0.134,0.8,15
2017,M04,4/1/2017,0.135,0.7,17.5
2017,M05,5/1/2017,0.137,1.5,22.5
2017,M06,6/1/2017,0.142,6,35
2017,M07,7/1/2017,0.143,5.9,37.5
2017,M08,8/1/2017,0.142,3.6,35
2017,M09,9/1/2017,0.142,0,35
2017,M10,10/1/2017,0.137,-4.2,22.5
2017,M11,11/1/2017,0.136,-4.2,20
2017,M12,12/1/2017,0.136,-4.2,20
2018,M01,1/1/2018,0.135,-1.5,17.5
2018,M02,2/1/2018,0.135,-0.7,17.5
2018,M03,3/1/2018,0.135,-0.7,17.5
2018,M04,4/1/2018,0.134,-0.7,15
2018,M05,5/1/2018,0.136,0.7,20
2018,M06,6/1/2018,0.139,3,27.5
2018,M07,7/1/2018,0.139,3.7,27.5
2018,M08,8/1/2018,0.139,2.2,27.5
2018,M09,9/1/2018,0.138,-0.7,25
2018,M10,10/1/2018,0.136,-2.2,20
2018,M11,11/1/2018,0.134,-3.6,15
2018,M12,12/1/2018,0.135,-2.2,17.5
2019,M01,1/1/2019,0.135,-0.7,17.5
2019,M02,2/1/2019,0.136,1.5,20
2019,M03,3/1/2019,0.135,0,17.5
2019,M04,4/1/2019,0.135,0,17.5
2019,M05,5/1/2019,0.136,0,20
2019,M06,6/1/2019,0.139,3,27.5
2019,M07,7/1/2019,0.14,3.7,30
2019,M08,8/1/2019,0.139,2.2,27.5
2019,M09,9/1/2019,0.139,0,27.5
2019,M10,10/1/2019,0.136,-2.9,20
2019,M11,11/1/2019,0.133,-4.3,12.5
2019,M12,12/1/2019,0.133,-4.3,12.5
2020,M01,1/1/2020,0.134,-1.5,15
2020,M02,2/1/2020,0.134,0.8,15
2020,M03,3/1/2020,0.134,0.8,15
2020,M04,4/1/2020,0.133,-0.7,12.5
2020,M05,5/1/2020,0.134,0,15
2020,M06,6/1/2020,0.137,2.2,22.5
2020,M07,7/1/2020,0.137,3,22.5
2020,M08,8/1/2020,0.137,2.2,22.5
2020,M09,9/1/2020,0.137,0,22.5
2020,M10,10/1/2020,0.135,-1.5,17.5
2020,M11,11/1/2020,0.136,-0.7,20
2020,M12,12/1/2020,0.136,-0.7,20
2021,M01,1/1/2021,0.136,0.7,20
2021,M02,2/1/2021,0.137,0.7,22.5
2021,M03,3/1/2021,0.138,1.5,25
2021,M04,4/1/2021,0.139,2.2,27.5
2021,M05,5/1/2021,0.14,2.2,30
2021,M06,6/1/2021,0.142,2.9,35
2021,M07,7/1/2021,0.143,2.9,37.5
2021,M08,8/1/2021,0.144,2.9,40
2021,M09,9/1/2021,0.144,1.4,40
2021,M10,10/1/2021,0.142,-0.7,35
2021,M11,11/1/2021,0.142,-1.4,35
2021,M12,12/1/2021,0.142,-1.4,35
2022,M01,1/1/2022,0.147,3.5,47.5
2022,M02,2/1/2022,0.148,4.2,50
2022,M03,3/1/2022,0.15,5.6,55
2022,M04,4/1/2022,0.151,2.7,57.5
2022,M05,5/1/2022,0.154,4.1,65
2022,M06,6/1/2022,0.16,6.7,80
2022,M07,7/1/2022,0.164,8.6,90
2022,M08,8/1/2022,0.167,8.4,97.5
2022,M09,9/1/2022,0.167,4.4,97.5
2022,M10,10/1/2022,0.166,1.2,95
2022,M11,11/1/2022,0.163,-2.4,87.5
2022,M12,12/1/2022,0.165,-1.2,92.5
2023,M01,1/1/2023,0.168,1.2,100
2023,M02,2/1/2023,0.168,3.1,100
2023,M03,3/1/2023,0.166,0.6,95
2023,M04,4/1/2023,0.165,-1.8,92.5
