Year,Month,Date,Value,3-Month % Change,NormValue
2013,M01,1/1/2013,271.027,0.5,0
2013,M02,2/1/2013,271.592,0.5,0.46147312
2013,M03,3/1/2013,272.07,0.6,0.851887548
2013,M04,4/1/2013,272.591,0.6,1.277422938
2013,M05,5/1/2013,273.23,0.6,1.799336786
2013,M06,6/1/2013,273.762,0.6,2.233856608
2013,M07,7/1/2013,274.239,0.6,2.623454269
2013,M08,8/1/2013,274.88,0.6,3.14700165
2013,M09,9/1/2013,275.375,0.6,3.551301109
2013,M10,10/1/2013,275.745,0.5,3.853504745
2013,M11,11/1/2013,276.622,0.6,4.56980904
2013,M12,12/1/2013,277.385,0.7,5.193001944
2014,M01,1/1/2014,278.028,0.8,5.718182858
2014,M02,2/1/2014,278.582,0.7,6.170671545
2014,M03,3/1/2014,279.463,0.7,6.890242906
2014,M04,4/1/2014,280.105,0.7,7.414607054
2014,M05,5/1/2014,280.898,0.8,8.062302955
2014,M06,6/1/2014,281.426,0.7,8.493555712
2014,M07,7/1/2014,282.194,0.7,9.120832449
2014,M08,8/1/2014,282.766,0.7,9.588022935
2014,M09,9/1/2014,283.405,0.7,10.10993678
2014,M10,10/1/2014,284.018,0.6,10.6106147
2014,M11,11/1/2014,284.786,0.7,11.23789144
2014,M12,12/1/2014,285.343,0.7,11.69283042
2015,M01,1/1/2015,286.126,0.7,12.33235866
2015,M02,2/1/2015,286.858,0.7,12.9302318
2015,M03,3/1/2015,287.736,0.8,13.64735286
2015,M04,4/1/2015,288.466,0.8,14.24359247
2015,M05,5/1/2015,288.988,0.7,14.66994462
2015,M06,6/1/2015,289.874,0.7,15.39359982
2015,M07,7/1/2015,290.992,0.9,16.30674486
2015,M08,8/1/2015,291.553,0.9,16.76495091
2015,M09,9/1/2015,292.435,0.9,17.48533904
2015,M10,10/1/2015,293.112,0.7,18.03829002
2015,M11,11/1/2015,293.884,0.8,18.66883382
2015,M12,12/1/2015,294.565,0.7,19.22505186
2016,M01,1/1/2016,295.491,0.8,19.98137772
2016,M02,2/1/2016,296.335,0.8,20.67072872
2016,M03,3/1/2016,297.025,0.8,21.23429766
2016,M04,4/1/2016,297.786,0.8,21.85585703
2016,M05,5/1/2016,298.818,0.8,22.69876015
2016,M06,6/1/2016,299.913,1,23.59311956
2016,M07,7/1/2016,300.625,1,24.17465737
2016,M08,8/1/2016,301.505,0.9,24.89341196
2016,M09,9/1/2016,302.542,0.9,25.74039891
2016,M10,10/1/2016,303.551,1,26.56451639
2016,M11,11/1/2016,304.464,1,27.31022428
2016,M12,12/1/2016,305.333,0.9,28.01999445
2017,M01,1/1/2017,306.105,0.8,28.65053825
2017,M02,2/1/2017,306.937,0.8,29.33008805
2017,M03,3/1/2017,307.421,0.7,29.72540307
2017,M04,4/1/2017,308.148,0.7,30.31919238
2017,M05,5/1/2017,308.891,0.6,30.92604995
2017,M06,6/1/2017,309.723,0.7,31.60559975
2017,M07,7/1/2017,310.138,0.6,31.94455788
2017,M08,8/1/2017,311.481,0.8,33.04147541
2017,M09,9/1/2017,312.378,0.9,33.77411503
2017,M10,10/1/2017,313.477,1.1,34.67174151
2017,M11,11/1/2017,314.181,0.9,35.24674519
2017,M12,12/1/2017,315.168,0.9,36.0528938
2018,M01,1/1/2018,315.979,0.8,36.7152915
2018,M02,2/1/2018,316.645,0.8,37.25925805
2018,M03,3/1/2018,317.73,0.8,38.14544979
2018,M04,4/1/2018,318.682,0.9,38.92301158
2018,M05,5/1/2018,319.821,1,39.85330872
2018,M06,6/1/2018,320.228,0.8,40.18573272
2018,M07,7/1/2018,321.06,0.7,40.86528252
2018,M08,8/1/2018,322.06,0.7,41.6820491
2018,M09,9/1/2018,322.671,0.8,42.18109349
2018,M10,10/1/2018,323.501,0.8,42.85900975
2018,M11,11/1/2018,324.439,0.7,43.62513681
2018,M12,12/1/2018,325.298,0.8,44.3267393
2019,M01,1/1/2019,326.276,0.9,45.12553702
2019,M02,2/1/2019,327.413,0.9,46.05420063
2019,M03,3/1/2019,328.512,1,46.95182711
2019,M04,4/1/2019,329.734,1.1,47.94991587
2019,M05,5/1/2019,330.592,1,48.6507016
2019,M06,6/1/2019,331.508,0.9,49.39885979
2019,M07,7/1/2019,332.332,0.8,50.07187546
2019,M08,8/1/2019,332.971,0.7,50.59378931
2019,M09,9/1/2019,334.11,0.8,51.52408645
2019,M10,10/1/2019,334.475,0.6,51.82220625
2019,M11,11/1/2019,335.341,0.7,52.52952611
2019,M12,12/1/2019,335.977,0.6,53.04898966
2020,M01,1/1/2020,337.274,0.8,54.10833592
2020,M02,2/1/2020,338.39,0.9,55.01984743
2020,M03,3/1/2020,338.525,0.8,55.13011092
2020,M04,4/1/2020,338.439,0.3,55.05986899
2020,M05,5/1/2020,339.117,0.2,55.61363673
2020,M06,6/1/2020,339.423,0.3,55.86356731
2020,M07,7/1/2020,340.178,0.5,56.48022608
2020,M08,8/1/2020,340.709,0.5,56.91392914
2020,M09,9/1/2020,341.015,0.5,57.16385971
2020,M10,10/1/2020,341.379,0.4,57.46116275
2020,M11,11/1/2020,341.856,0.3,57.85076041
2020,M12,12/1/2020,342.231,0.4,58.15704788
2021,M01,1/1/2021,342.804,0.4,58.62505513
2021,M02,2/1/2021,343.444,0.5,59.14778575
2021,M03,3/1/2021,344.343,0.6,59.88205891
2021,M04,4/1/2021,345.679,0.8,60.97325906
2021,M05,5/1/2021,346.688,0.9,61.79737655
2021,M06,6/1/2021,348.25,1.1,63.07316595
2021,M07,7/1/2021,349.903,1.2,64.42328111
2021,M08,8/1/2021,350.509,1.1,64.91824166
2021,M09,9/1/2021,351.889,1,66.04537955
2021,M10,10/1/2021,353.406,1,67.28441446
2021,M11,11/1/2021,355.14,1.3,68.70068772
2021,M12,12/1/2021,356.546,1.3,69.84906154
2022,M01,1/1/2022,358.016,1.3,71.04970841
2022,M02,2/1/2022,359.932,1.3,72.61463319
2022,M03,3/1/2022,361.786,1.5,74.12891844
2022,M04,4/1/2022,363.691,1.6,75.68485878
2022,M05,5/1/2022,365.831,1.6,77.43273927
2022,M06,6/1/2022,367.973,1.7,79.1822533
2022,M07,7/1/2022,370.05,1.7,80.87867749
2022,M08,8/1/2022,372.631,1.9,82.98675205
