Year,Month,Date,Value,3-Month % Change,NormValue
2013,M01,1/1/2013,52,-3,100
2013,M02,2/1/2013,51.9,-0.6,99.26470588
2013,M03,3/1/2013,51.1,-2.1,93.38235294
2013,M04,4/1/2013,51,-1.9,92.64705882
2013,M05,5/1/2013,50.9,-1.9,91.91176471
2013,M06,6/1/2013,50.9,-0.4,91.91176471
2013,M07,7/1/2013,50.6,-0.8,89.70588235
2013,M08,8/1/2013,50.5,-0.8,88.97058824
2013,M09,9/1/2013,49.7,-2.4,83.08823529
2013,M10,10/1/2013,49.5,-2.2,81.61764706
2013,M11,11/1/2013,49.5,-2,81.61764706
2013,M12,12/1/2013,49.5,-0.4,81.61764706
2014,M01,1/1/2014,49.4,-0.2,80.88235294
2014,M02,2/1/2014,49.4,-0.2,80.88235294
2014,M03,3/1/2014,49.3,-0.4,80.14705882
2014,M04,4/1/2014,49.1,-0.6,78.67647059
2014,M05,5/1/2014,48.8,-1.2,76.47058824
2014,M06,6/1/2014,48.7,-1.2,75.73529412
2014,M07,7/1/2014,48.1,-2,71.32352941
2014,M08,8/1/2014,48,-1.6,70.58823529
2014,M09,9/1/2014,48.1,-1.2,71.32352941
2014,M10,10/1/2014,47.4,-1.5,66.17647059
2014,M11,11/1/2014,47.4,-1.3,66.17647059
2014,M12,12/1/2014,47.1,-2.1,63.97058824
2015,M01,1/1/2015,46.3,-2.3,58.08823529
2015,M02,2/1/2015,46.3,-2.3,58.08823529
2015,M03,3/1/2015,46.3,-1.7,58.08823529
2015,M04,4/1/2015,46.3,0,58.08823529
2015,M05,5/1/2015,46.1,-0.4,56.61764706
2015,M06,6/1/2015,46.1,-0.4,56.61764706
2015,M07,7/1/2015,46.1,-0.4,56.61764706
2015,M08,8/1/2015,46.1,0,56.61764706
2015,M09,9/1/2015,46.1,0,56.61764706
2015,M10,10/1/2015,46,-0.2,55.88235294
2015,M11,11/1/2015,45.9,-0.4,55.14705882
2015,M12,12/1/2015,45.7,-0.9,53.67647059
2016,M01,1/1/2016,45.6,-0.9,52.94117647
2016,M02,2/1/2016,44.9,-2.2,47.79411765
2016,M03,3/1/2016,44.8,-2,47.05882353
2016,M04,4/1/2016,44.6,-2.2,45.58823529
2016,M05,5/1/2016,44.5,-0.9,44.85294118
2016,M06,6/1/2016,44.6,-0.4,45.58823529
2016,M07,7/1/2016,44.5,-0.2,44.85294118
2016,M08,8/1/2016,44.4,-0.2,44.11764706
2016,M09,9/1/2016,44.4,-0.4,44.11764706
2016,M10,10/1/2016,44.4,-0.2,44.11764706
2016,M11,11/1/2016,44.4,0,44.11764706
2016,M12,12/1/2016,44.4,0,44.11764706
2017,M01,1/1/2017,44.1,-0.7,41.91176471
2017,M02,2/1/2017,44.1,-0.7,41.91176471
2017,M03,3/1/2017,43.9,-1.1,40.44117647
2017,M04,4/1/2017,44,-0.2,41.17647059
2017,M05,5/1/2017,44,-0.2,41.17647059
2017,M06,6/1/2017,44,0.2,41.17647059
2017,M07,7/1/2017,44,0,41.17647059
2017,M08,8/1/2017,44,0,41.17647059
2017,M09,9/1/2017,43.9,-0.2,40.44117647
2017,M10,10/1/2017,43.7,-0.7,38.97058824
2017,M11,11/1/2017,43.6,-0.9,38.23529412
2017,M12,12/1/2017,43.5,-0.9,37.5
2018,M01,1/1/2018,43.5,-0.5,37.5
2018,M02,2/1/2018,43.6,0,38.23529412
2018,M03,3/1/2018,43.3,-0.5,36.02941176
2018,M04,4/1/2018,43.1,-0.9,34.55882353
2018,M05,5/1/2018,43,-1.4,33.82352941
2018,M06,6/1/2018,42.6,-1.6,30.88235294
2018,M07,7/1/2018,42.2,-2.1,27.94117647
2018,M08,8/1/2018,42.2,-1.9,27.94117647
2018,M09,9/1/2018,42.1,-1.2,27.20588235
2018,M10,10/1/2018,42,-0.5,26.47058824
2018,M11,11/1/2018,41.9,-0.7,25.73529412
2018,M12,12/1/2018,41.7,-1,24.26470588
2019,M01,1/1/2019,41.3,-1.7,21.32352941
2019,M02,2/1/2019,41,-2.1,19.11764706
2019,M03,3/1/2019,40.8,-2.2,17.64705882
2019,M04,4/1/2019,40.8,-1.2,17.64705882
2019,M05,5/1/2019,40.7,-0.7,16.91176471
2019,M06,6/1/2019,40.5,-0.7,15.44117647
2019,M07,7/1/2019,40.4,-1,14.70588235
2019,M08,8/1/2019,40.3,-1,13.97058824
2019,M09,9/1/2019,40.3,-0.5,13.97058824
2019,M10,10/1/2019,40.2,-0.5,13.23529412
2019,M11,11/1/2019,40,-0.7,11.76470588
2019,M12,12/1/2019,39.9,-1,11.02941176
2020,M01,1/1/2020,40.2,0,13.23529412
2020,M02,2/1/2020,39.4,-1.5,7.352941176
2020,M03,3/1/2020,39,-2.3,4.411764706
2020,M04,4/1/2020,38.7,-3.7,2.205882353
2020,M05,5/1/2020,38.6,-2,1.470588235
2020,M06,6/1/2020,38.6,-1,1.470588235
2020,M07,7/1/2020,38.5,-0.5,0.735294118
2020,M08,8/1/2020,38.5,-0.3,0.735294118
2020,M09,9/1/2020,38.4,-0.5,0
2020,M10,10/1/2020,38.6,0.3,1.470588235
2020,M11,11/1/2020,39,1.3,4.411764706
2020,M12,12/1/2020,39.4,2.6,7.352941176
2021,M01,1/1/2021,39.8,3.1,10.29411765
2021,M02,2/1/2021,39.8,2.1,10.29411765
2021,M03,3/1/2021,39.7,0.8,9.558823529
2021,M04,4/1/2021,40.4,1.5,14.70588235
2021,M05,5/1/2021,40.9,2.8,18.38235294
2021,M06,6/1/2021,41,3.3,19.11764706
2021,M07,7/1/2021,42.5,5.2,30.14705882
2021,M08,8/1/2021,42.5,3.9,30.14705882
2021,M09,9/1/2021,43,4.9,33.82352941
2021,M10,10/1/2021,42.8,0.7,32.35294118
2021,M11,11/1/2021,42.7,0.5,31.61764706
2021,M12,12/1/2021,42.1,-2.1,27.20588235
2022,M01,1/1/2022,41.2,-3.7,20.58823529
2022,M02,2/1/2022,41.2,-3.5,20.58823529
2022,M03,3/1/2022,41.2,-2.1,20.58823529
2022,M04,4/1/2022,40.9,-0.7,18.38235294
2022,M05,5/1/2022,40.8,-1,17.64705882
2022,M06,6/1/2022,40.5,-1.7,15.44117647
2022,M07,7/1/2022,40.4,-1.2,14.70588235
2022,M08,8/1/2022,40.3,-1.2,13.97058824
2022,M09,9/1/2022,40.1,-1,12.5
2022,M10,10/1/2022,41.7,3.2,24.26470588
2022,M11,11/1/2022,41.4,2.7,22.05882353
2022,M12,12/1/2022,41.4,3.2,22.05882353
2023,M01,1/1/2023,41.4,-0.7,22.05882353
2023,M02,2/1/2023,41.4,0,22.05882353
2023,M03,3/1/2023,41.1,-0.7,19.85294118
