Value,Norm,Date
52.0,1.0,2013-01-01
51.9,0.9926470588235293,2013-02-01
51.1,0.9338235294117648,2013-03-01
51.0,0.9264705882352942,2013-04-01
50.9,0.9191176470588235,2013-05-01
50.9,0.9191176470588235,2013-06-01
50.6,0.8970588235294119,2013-07-01
50.5,0.8897058823529412,2013-08-01
49.7,0.8308823529411767,2013-09-01
49.5,0.8161764705882353,2013-10-01
49.5,0.8161764705882353,2013-11-01
49.5,0.8161764705882353,2013-12-01
49.4,0.8088235294117646,2014-01-01
49.4,0.8088235294117646,2014-02-01
49.3,0.8014705882352939,2014-03-01
49.1,0.786764705882353,2014-04-01
48.8,0.764705882352941,2014-05-01
48.7,0.7573529411764708,2014-06-01
48.1,0.7132352941176472,2014-07-01
48.0,0.7058823529411765,2014-08-01
48.1,0.7132352941176472,2014-09-01
47.4,0.6617647058823529,2014-10-01
47.4,0.6617647058823529,2014-11-01
47.1,0.6397058823529413,2014-12-01
46.3,0.5808823529411763,2015-01-01
46.3,0.5808823529411763,2015-02-01
46.3,0.5808823529411763,2015-03-01
46.3,0.5808823529411763,2015-04-01
46.1,0.5661764705882354,2015-05-01
46.1,0.5661764705882354,2015-06-01
46.1,0.5661764705882354,2015-07-01
46.1,0.5661764705882354,2015-08-01
46.1,0.5661764705882354,2015-09-01
46.0,0.5588235294117647,2015-10-01
45.9,0.551470588235294,2015-11-01
45.7,0.5367647058823531,2015-12-01
45.6,0.5294117647058825,2016-01-01
44.9,0.4779411764705882,2016-02-01
44.8,0.4705882352941175,2016-03-01
44.6,0.4558823529411766,2016-04-01
44.5,0.44852941176470595,2016-05-01
44.6,0.4558823529411766,2016-06-01
44.5,0.44852941176470595,2016-07-01
44.4,0.4411764705882352,2016-08-01
44.4,0.4411764705882352,2016-09-01
44.4,0.4411764705882352,2016-10-01
44.4,0.4411764705882352,2016-11-01
44.4,0.4411764705882352,2016-12-01
44.1,0.4191176470588237,2017-01-01
44.1,0.4191176470588237,2017-02-01
43.9,0.4044117647058823,2017-03-01
44.0,0.411764705882353,2017-04-01
44.0,0.411764705882353,2017-05-01
44.0,0.411764705882353,2017-06-01
44.0,0.411764705882353,2017-07-01
44.0,0.411764705882353,2017-08-01
43.9,0.4044117647058823,2017-09-01
43.7,0.38970588235294146,2017-10-01
43.6,0.3823529411764708,2017-11-01
43.5,0.37500000000000006,2017-12-01
43.5,0.37500000000000006,2018-01-01
43.6,0.3823529411764708,2018-02-01
43.3,0.36029411764705865,2018-03-01
43.1,0.3455882352941178,2018-04-01
43.0,0.33823529411764713,2018-05-01
42.6,0.3088235294117649,2018-06-01
42.2,0.27941176470588264,2018-07-01
42.2,0.27941176470588264,2018-08-01
42.1,0.27205882352941196,2018-09-01
42.0,0.26470588235294124,2018-10-01
41.9,0.25735294117647056,2018-11-01
41.7,0.2426470588235297,2018-12-01
41.3,0.21323529411764694,2019-01-01
41.0,0.1911764705882354,2019-02-01
40.8,0.176470588235294,2019-03-01
40.8,0.176470588235294,2019-04-01
40.7,0.16911764705882382,2019-05-01
40.5,0.15441176470588244,2019-06-01
40.4,0.14705882352941174,2019-07-01
40.3,0.13970588235294107,2019-08-01
40.3,0.13970588235294107,2019-09-01
40.2,0.1323529411764709,2019-10-01
40.0,0.11764705882352951,2019-11-01
39.9,0.1102941176470588,2019-12-01
40.2,0.1323529411764709,2020-01-01
39.4,0.07352941176470587,2020-02-01
39.0,0.04411764705882363,2020-03-01
38.7,0.022058823529412075,2020-04-01
38.6,0.014705882352941384,2020-05-01
38.6,0.014705882352941384,2020-06-01
38.5,0.007352941176470692,2020-07-01
38.5,0.007352941176470692,2020-08-01
38.4,0.0,2020-09-01
38.6,0.014705882352941384,2020-10-01
39.0,0.04411764705882363,2020-11-01
39.4,0.07352941176470587,2020-12-01
39.8,0.10294117647058812,2021-01-01
39.8,0.10294117647058812,2021-02-01
39.7,0.09558823529411795,2021-03-01
40.4,0.14705882352941174,2021-04-01
40.9,0.1838235294117647,2021-05-01
41.0,0.1911764705882354,2021-06-01
42.5,0.3014705882352942,2021-07-01
42.5,0.3014705882352942,2021-08-01
43.0,0.33823529411764713,2021-09-01
42.8,0.32352941176470573,2021-10-01
42.7,0.31617647058823556,2021-11-01
42.1,0.27205882352941196,2021-12-01
41.2,0.20588235294117677,2022-01-01
41.2,0.20588235294117677,2022-02-01
41.2,0.20588235294117677,2022-03-01
40.9,0.1838235294117647,2022-04-01
40.8,0.176470588235294,2022-05-01
40.5,0.15441176470588244,2022-06-01
40.4,0.14705882352941174,2022-07-01
40.3,0.13970588235294107,2022-08-01
40.1,0.1250000000000002,2022-09-01
41.7,0.2426470588235297,2022-10-01
41.4,0.2205882352941176,2022-11-01
41.4,0.2205882352941176,2022-12-01
41.4,0.2205882352941176,2023-01-01
41.4,0.2205882352941176,2023-02-01
41.1,0.19852941176470607,2023-03-01
