Series ID,Year,Period,Label,Value,3-Month % Change
PCU3222913222915,2003,M12,2003 Dec,100.0, N/A
PCU3222913222915,2004,M01,2004 Jan,100.0,N/A
PCU3222913222915,2004,M02,2004 Feb,100.2,N/A
PCU3222913222915,2004,M03,2004 Mar,100.2,0.2
PCU3222913222915,2004,M04,2004 Apr,100.2,0.2
PCU3222913222915,2004,M05,2004 May,100.9,0.7
PCU3222913222915,2004,M06,2004 Jun,101.1,0.9
PCU3222913222915,2004,M07,2004 Jul,100.8,0.6
PCU3222913222915,2004,M08,2004 Aug,99.9,-1.0
PCU3222913222915,2004,M09,2004 Sep,100.0,-1.1
PCU3222913222915,2004,M10,2004 Oct,101.4,0.6
PCU3222913222915,2004,M11,2004 Nov,101.6,1.7
PCU3222913222915,2004,M12,2004 Dec,101.6,1.6
PCU3222913222915,2005,M01,2005 Jan,101.6,0.2
PCU3222913222915,2005,M02,2005 Feb,102.7,1.1
PCU3222913222915,2005,M03,2005 Mar,103.9,2.3
PCU3222913222915,2005,M04,2005 Apr,104.0,2.4
PCU3222913222915,2005,M05,2005 May,104.1,1.4
PCU3222913222915,2005,M06,2005 Jun,104.3,0.4
PCU3222913222915,2005,M07,2005 Jul,104.3,0.3
PCU3222913222915,2005,M08,2005 Aug,104.6,0.5
PCU3222913222915,2005,M09,2005 Sep,104.7,0.4
PCU3222913222915,2005,M10,2005 Oct,104.9,0.6
PCU3222913222915,2005,M11,2005 Nov,105.0,0.4
PCU3222913222915,2005,M12,2005 Dec,105.0,0.3
PCU3222913222915,2006,M01,2006 Jan,105.4,0.5
PCU3222913222915,2006,M02,2006 Feb,109.9,4.7
PCU3222913222915,2006,M03,2006 Mar,109.9,4.7
PCU3222913222915,2006,M04,2006 Apr,110.0,4.4
PCU3222913222915,2006,M05,2006 May,110.1,0.2
PCU3222913222915,2006,M06,2006 Jun,110.1,0.2
PCU3222913222915,2006,M07,2006 Jul,111.2,1.1
PCU3222913222915,2006,M08,2006 Aug,111.4,1.2
PCU3222913222915,2006,M09,2006 Sep,111.4,1.2
PCU3222913222915,2006,M10,2006 Oct,111.1,-0.1
PCU3222913222915,2006,M11,2006 Nov,111.5,0.1
PCU3222913222915,2006,M12,2006 Dec,111.5,0.1
PCU3222913222915,2007,M01,2007 Jan,113.4,2.1
PCU3222913222915,2007,M02,2007 Feb,113.4,1.7
PCU3222913222915,2007,M03,2007 Mar,113.4,1.7
PCU3222913222915,2007,M04,2007 Apr,113.4,0.0
PCU3222913222915,2007,M05,2007 May,113.4,0.0
PCU3222913222915,2007,M06,2007 Jun,115.9,2.2
PCU3222913222915,2007,M07,2007 Jul,115.9,2.2
PCU3222913222915,2007,M08,2007 Aug,116.3,2.6
PCU3222913222915,2007,M09,2007 Sep,116.4,0.4
PCU3222913222915,2007,M10,2007 Oct,116.4,0.4
PCU3222913222915,2007,M11,2007 Nov,116.4,0.1
PCU3222913222915,2007,M12,2007 Dec,116.4,0.0
PCU3222913222915,2008,M01,2008 Jan,116.4,0.0
PCU3222913222915,2008,M02,2008 Feb,116.4,0.0
PCU3222913222915,2008,M03,2008 Mar,116.6,0.2
PCU3222913222915,2008,M04,2008 Apr,119.5,2.7
PCU3222913222915,2008,M05,2008 May,122.2,5.0
PCU3222913222915,2008,M06,2008 Jun,121.3,4.0
PCU3222913222915,2008,M07,2008 Jul,121.3,1.5
PCU3222913222915,2008,M08,2008 Aug,121.4,-0.7
