Series ID,Year,Period,Label,Value,3-Month % Change
WPS5861,2016,M01,2016 Jan,99.0, N/A
WPS5861,2016,M02,2016 Feb,98.7,N/A
WPS5861,2016,M03,2016 Mar,96.8,N/A
WPS5861,2016,M04,2016 Apr,95.0,-4.0
WPS5861,2016,M05,2016 May,93.7,-5.1
WPS5861,2016,M06,2016 Jun,95.3,-1.5
WPS5861,2016,M07,2016 Jul,95.7,0.7
WPS5861,2016,M08,2016 Aug,95.1,1.5
WPS5861,2016,M09,2016 Sep,95.3,0.0
WPS5861,2016,M10,2016 Oct,95.4,-0.3
WPS5861,2016,M11,2016 Nov,94.8,-0.3
WPS5861,2016,M12,2016 Dec,95.5,0.2
WPS5861,2017,M01,2017 Jan,97.1,1.8
WPS5861,2017,M02,2017 Feb,95.6,0.8
WPS5861,2017,M03,2017 Mar,96.3,0.8
WPS5861,2017,M04,2017 Apr,96.6,-0.5
WPS5861,2017,M05,2017 May,95.3,-0.3
WPS5861,2017,M06,2017 Jun,94.5,-1.9
WPS5861,2017,M07,2017 Jul,92.8,-3.9
WPS5861,2017,M08,2017 Aug,93.9,-1.5
WPS5861,2017,M09,2017 Sep,93.5,-1.1
WPS5861,2017,M10,2017 Oct,92.1,-0.8
WPS5861,2017,M11,2017 Nov,92.4,-1.6
WPS5861,2017,M12,2017 Dec,92.4,-1.2
WPS5861,2018,M01,2018 Jan,94.5,2.6
WPS5861,2018,M02,2018 Feb,94.3,2.1
WPS5861,2018,M03,2018 Mar,96.8,4.8
WPS5861,2018,M04,2018 Apr,96.5,2.1
WPS5861,2018,M05,2018 May,96.1,1.9
WPS5861,2018,M06,2018 Jun,95.9,-0.9
WPS5861,2018,M07,2018 Jul,93.7,-2.9
WPS5861,2018,M08,2018 Aug,93.5,-2.7
WPS5861,2018,M09,2018 Sep,94.0,-2.0
WPS5861,2018,M10,2018 Oct,92.5,-1.3
WPS5861,2018,M11,2018 Nov,92.6,-1.0
WPS5861,2018,M12,2018 Dec,95.1,1.2
WPS5861,2019,M01,2019 Jan,94.5,2.2
WPS5861,2019,M02,2019 Feb,95.6,3.2
WPS5861,2019,M03,2019 Mar,96.2,1.2
WPS5861,2019,M04,2019 Apr,96.7,2.3
WPS5861,2019,M05,2019 May,95.2,-0.4
WPS5861,2019,M06,2019 Jun,95.6,-0.6
WPS5861,2019,M07,2019 Jul,95.6,-1.1
WPS5861,2019,M08,2019 Aug,95.7,0.5
WPS5861,2019,M09,2019 Sep,95.1,-0.5
WPS5861,2019,M10,2019 Oct,95.1,-0.5
WPS5861,2019,M11,2019 Nov,94.2,-1.6
WPS5861,2019,M12,2019 Dec,95.1,0.0
WPS5861,2020,M01,2020 Jan,96.4,1.4
WPS5861,2020,M02,2020 Feb,96.6,2.5
WPS5861,2020,M03,2020 Mar,97.0,2.0
WPS5861,2020,M04,2020 Apr,90.1,-6.5
WPS5861,2020,M05,2020 May,95.0,-1.7
WPS5861,2020,M06,2020 Jun,104.6,7.8
WPS5861,2020,M07,2020 Jul,111.7,24.0
WPS5861,2020,M08,2020 Aug,111.3,17.2
WPS5861,2020,M09,2020 Sep,111.1,6.2
WPS5861,2020,M10,2020 Oct,116.9,4.7
WPS5861,2020,M11,2020 Nov,117.8,5.8
WPS5861,2020,M12,2020 Dec,113.8,2.4
WPS5861,2021,M01,2021 Jan,114.7,-1.9
WPS5861,2021,M02,2021 Feb,118.4,0.5
WPS5861,2021,M03,2021 Mar,119.3,4.8
WPS5861,2021,M04,2021 Apr,132.1,15.2
WPS5861,2021,M05,2021 May,150.6,27.2
WPS5861,2021,M06,2021 Jun,161.8,35.6
WPS5861,2021,M07,2021 Jul,166.031,25.7
WPS5861,2021,M08,2021 Aug,171.321,13.8
WPS5861,2021,M09,2021 Sep,178.484,10.3
WPS5861,2021,M10,2021 Oct,188.551,13.6
WPS5861,2021,M11,2021 Nov,193.719,13.1
WPS5861,2021,M12,2021 Dec,199.233,11.6
WPS5861,2022,M01,2022 Jan,202.116,7.2
WPS5861,2022,M02,2022 Feb,203.911,5.3
WPS5861,2022,M03,2022 Mar,200.809,0.8
WPS5861,2022,M04,2022 Apr,200.832,-0.6
WPS5861,2022,M05,2022 May,208.884,2.4
WPS5861,2022,M06,2022 Jun,213.402,6.3
WPS5861,2022,M07,2022 Jul,211.493,5.3
WPS5861,2022,M08,2022 Aug,208.927,0.0
WPS5861,2022,M09,2022 Sep,206.163,-3.4
WPS5861,2022,M10,2022 Oct,201.083,-4.9
WPS5861,2022,M11,2022 Nov,199.609,-4.5
WPS5861,2022,M12,2022 Dec,193.286,-6.2
WPS5861,2023,M01,2023 Jan,183.802,-8.6
WPS5861,2023,M02,2023 Feb,183.862,-7.9
WPS5861,2023,M03,2023 Mar,181.583,-6.1
WPS5861,2023,M04,2023 Apr,182.457,-0.7
