%SeriesCode,Period,Value
A053RC,1947Q1,"33,466"
A053RC,1947Q2,"31,668"
A053RC,1947Q3,"31,288"
A053RC,1947Q4,"34,123"
A053RC,1948Q1,"35,747"
A053RC,1948Q2,"37,589"
A053RC,1948Q3,"36,959"
A053RC,1948Q4,"35,712"
A053RC,1949Q1,"32,519"
A053RC,1949Q2,"28,692"
A053RC,1949Q3,"29,752"
A053RC,1949Q4,"29,205"
A053RC,1950Q1,"33,477"
A053RC,1950Q2,"39,923"
A053RC,1950Q3,"48,501"
A053RC,1950Q4,"53,221"
A053RC,1951Q1,"52,393"
A053RC,1951Q2,"44,593"
A053RC,1951Q3,"40,666"
A053RC,1951Q4,"43,868"
A053RC,1952Q1,"41,590"
A053RC,1952Q2,"39,667"
A053RC,1952Q3,"39,898"
A053RC,1952Q4,"43,972"
A053RC,1953Q1,"45,893"
A053RC,1953Q2,"46,034"
A053RC,1953Q3,"45,077"
A053RC,1953Q4,"35,591"
A053RC,1954Q1,"38,019"
A053RC,1954Q2,"39,141"
A053RC,1954Q3,"41,473"
A053RC,1954Q4,"44,539"
A053RC,1955Q1,"49,715"
A053RC,1955Q2,"50,444"
A053RC,1955Q3,"51,731"
A053RC,1955Q4,"53,871"
A053RC,1956Q1,"52,285"
A053RC,1956Q2,"53,542"
A053RC,1956Q3,"50,939"
A053RC,1956Q4,"53,735"
A053RC,1957Q1,"54,518"
A053RC,1957Q2,"52,239"
A053RC,1957Q3,"51,138"
A053RC,1957Q4,"46,878"
A053RC,1958Q1,"40,564"
A053RC,1958Q2,"41,276"
A053RC,1958Q3,"45,972"
A053RC,1958Q4,"52,306"
A053RC,1959Q1,"55,502"
A053RC,1959Q2,"60,398"
A053RC,1959Q3,"54,549"
A053RC,1959Q4,"53,368"
A053RC,1960Q1,"58,778"
A053RC,1960Q2,"54,428"
A053RC,1960Q3,"52,155"
A053RC,1960Q4,"50,050"
A053RC,1961Q1,"49,179"
A053RC,1961Q2,"52,095"
A053RC,1961Q3,"55,033"
A053RC,1961Q4,"59,311"
A053RC,1962Q1,"58,340"
A053RC,1962Q2,"58,026"
A053RC,1962Q3,"59,757"
A053RC,1962Q4,"60,694"
A053RC,1963Q1,"60,428"
A053RC,1963Q2,"64,064"
A053RC,1963Q3,"65,769"
A053RC,1963Q4,"67,404"
A053RC,1964Q1,"70,805"
A053RC,1964Q2,"70,797"
A053RC,1964Q3,"72,492"
A053RC,1964Q4,"71,690"
A053RC,1965Q1,"79,043"
A053RC,1965Q2,"81,806"
A053RC,1965Q3,"83,277"
A053RC,1965Q4,"88,313"
A053RC,1966Q1,"90,826"
A053RC,1966Q2,"91,204"
A053RC,1966Q3,"90,553"
A053RC,1966Q4,"88,953"
A053RC,1967Q1,"85,784"
A053RC,1967Q2,"85,602"
A053RC,1967Q3,"87,148"
A053RC,1967Q4,"91,881"
A053RC,1968Q1,"95,276"
A053RC,1968Q2,"97,590"
A053RC,1968Q3,"98,140"
A053RC,1968Q4,"100,619"
A053RC,1969Q1,"100,694"
A053RC,1969Q2,"97,803"
A053RC,1969Q3,"94,702"
A053RC,1969Q4,"93,411"
A053RC,1970Q1,"86,399"
A053RC,1970Q2,"86,350"
A053RC,1970Q3,"88,276"
A053RC,1970Q4,"84,026"
A053RC,1971Q1,"94,536"
A053RC,1971Q2,"97,736"
