Series ID,Year,Period,Label,Value,3-Month Net Change,3-Month % Change
EIUIR41200,1984,M12,1984 Dec,132.2, N/A, N/A
EIUIR41200,1985,M03,1985 Mar,133.5,N/A,1.0
EIUIR41200,1985,M06,1985 Jun,129.5,N/A,-3.0
EIUIR41200,1985,M09,1985 Sep,122.2,N/A,-5.6
EIUIR41200,1985,M12,1985 Dec,123.8,N/A,1.3
EIUIR41200,1986,M03,1986 Mar,134.6,N/A,8.7
EIUIR41200,1986,M06,1986 Jun,140.3,N/A,4.2
EIUIR41200,1986,M09,1986 Sep,142.9,N/A,1.9
EIUIR41200,1986,M12,1986 Dec,141.6,N/A,-0.9
EIUIR41200,1987,M03,1987 Mar,141.6,N/A,0.0
EIUIR41200,1987,M06,1987 Jun,139.7,N/A,-1.3
EIUIR41200,1987,M09,1987 Sep,140.6,N/A,0.6
EIUIR41200,1987,M12,1987 Dec,140.8,N/A,0.1
EIUIR41200,1988,M03,1988 Mar,138.9,N/A,-1.3
EIUIR41200,1988,M06,1988 Jun,139.1,N/A,0.1
EIUIR41200,1988,M09,1988 Sep,141.8,N/A,1.9
EIUIR41200,1988,M12,1988 Dec,144.1,N/A,1.6
EIUIR41200,1989,M03,1989 Mar,144.8,N/A,0.5
EIUIR41200,1989,M06,1989 Jun,145.9,N/A,0.8
EIUIR41200,1989,M09,1989 Sep,144.9,N/A,-0.7
EIUIR41200,1989,M12,1989 Dec,142.6,N/A,-1.6
EIUIR41200,1990,M03,1990 Mar,140.2,N/A,-1.7
EIUIR41200,1990,M06,1990 Jun,137.9,N/A,-1.6
EIUIR41200,1990,M09,1990 Sep,134.0,N/A,-2.8
EIUIR41200,1990,M12,1990 Dec,133.0,N/A,-0.7
EIUIR41200,1991,M03,1991 Mar,129.9,N/A,-2.3
EIUIR41200,1991,M06,1991 Jun,129.6,N/A,-0.2
EIUIR41200,1991,M09,1991 Sep,128.0,N/A,-1.2
EIUIR41200,1991,M12,1991 Dec,128.1,N/A,0.1
EIUIR41200,1992,M03,1992 Mar,127.4,N/A,-0.5
EIUIR41200,1992,M06,1992 Jun,126.7,N/A,-0.5
EIUIR41200,1992,M09,1992 Sep,126.0,N/A,-0.6
EIUIR41200,1992,M12,1992 Dec,126.5,N/A,0.4
EIUIR41200,1993,M03,1993 Mar,126.4,N/A,-0.1
EIUIR41200,1993,M06,1993 Jun,126.7,N/A,0.2
EIUIR41200,1993,M09,1993 Sep,127.7,N/A,0.8
EIUIR41200,1993,M12,1993 Dec,127.7,N/A,0.0
