Series ID,Year,Period,Label,Value,3-Month % Change
APU0000702111,1984,M01,1984 Jan,0.543,1.5
APU0000702111,1984,M02,1984 Feb,0.541,-1.1
APU0000702111,1984,M03,1984 Mar,0.542,-0.9
APU0000702111,1984,M04,1984 Apr,0.536,-1.3
APU0000702111,1984,M05,1984 May,0.541,0.0
APU0000702111,1984,M06,1984 Jun,0.542,0.0
APU0000702111,1984,M07,1984 Jul,0.541,0.9
APU0000702111,1984,M08,1984 Aug,0.543,0.4
APU0000702111,1984,M09,1984 Sep,0.539,-0.6
APU0000702111,1984,M10,1984 Oct,0.540,-0.2
APU0000702111,1984,M11,1984 Nov,0.543,0.0
APU0000702111,1984,M12,1984 Dec,0.544,0.9
APU0000702111,1985,M01,1985 Jan,0.551,2.0
APU0000702111,1985,M02,1985 Feb,0.544,0.2
APU0000702111,1985,M03,1985 Mar,0.544,0.0
APU0000702111,1985,M04,1985 Apr,0.544,-1.3
APU0000702111,1985,M05,1985 May,0.542,-0.4
APU0000702111,1985,M06,1985 Jun,0.546,0.4
APU0000702111,1985,M07,1985 Jul,0.556,2.2
APU0000702111,1985,M08,1985 Aug,0.553,2.0
APU0000702111,1985,M09,1985 Sep,0.561,2.7
APU0000702111,1985,M10,1985 Oct,0.566,1.8
APU0000702111,1985,M11,1985 Nov,0.564,2.0
APU0000702111,1985,M12,1985 Dec,0.568,1.2
APU0000702111,1986,M01,1986 Jan,0.566,0.0
APU0000702111,1986,M02,1986 Feb,0.563,-0.2
APU0000702111,1986,M03,1986 Mar,0.560,-1.4
APU0000702111,1986,M04,1986 Apr,0.561,-0.9
APU0000702111,1986,M05,1986 May,0.562,-0.2
APU0000702111,1986,M06,1986 Jun,0.569,1.6
APU0000702111,1986,M07,1986 Jul,0.564,0.5
APU0000702111,1986,M08,1986 Aug,0.570,1.4
APU0000702111,1986,M09,1986 Sep,0.566,-0.5
APU0000702111,1986,M10,1986 Oct,0.565,0.2
APU0000702111,1986,M11,1986 Nov,0.564,-1.1
APU0000702111,1986,M12,1986 Dec,0.566,0.0
APU0000702111,1987,M01,1987 Jan,0.544,-3.7
APU0000702111,1987,M02,1987 Feb,0.539,-4.4
APU0000702111,1987,M03,1987 Mar,0.541,-4.4
APU0000702111,1987,M04,1987 Apr,0.542,-0.4
APU0000702111,1987,M05,1987 May,0.540,0.2
APU0000702111,1987,M06,1987 Jun,0.533,-1.5
APU0000702111,1987,M07,1987 Jul,0.544,0.4
APU0000702111,1987,M08,1987 Aug,0.546,1.1
APU0000702111,1987,M09,1987 Sep,0.551,3.4
APU0000702111,1987,M10,1987 Oct,0.559,2.8
APU0000702111,1987,M11,1987 Nov,0.559,2.4
APU0000702111,1987,M12,1987 Dec,0.571,3.6
APU0000702111,1988,M01,1988 Jan,0.586,4.8
APU0000702111,1988,M02,1988 Feb,0.586,4.8
APU0000702111,1988,M03,1988 Mar,0.587,2.8
APU0000702111,1988,M04,1988 Apr,0.595,1.5
APU0000702111,1988,M05,1988 May,0.598,2.0
APU0000702111,1988,M06,1988 Jun,0.601,2.4
APU0000702111,1988,M07,1988 Jul,0.602,1.2
APU0000702111,1988,M08,1988 Aug,0.619,3.5
APU0000702111,1988,M09,1988 Sep,0.636,5.8
APU0000702111,1988,M10,1988 Oct,0.642,6.6
APU0000702111,1988,M11,1988 Nov,0.645,4.2
APU0000702111,1988,M12,1988 Dec,0.657,3.3
APU0000702111,1989,M01,1989 Jan,0.653,1.7
APU0000702111,1989,M02,1989 Feb,0.652,1.1
APU0000702111,1989,M03,1989 Mar,0.654,-0.5
APU0000702111,1989,M04,1989 Apr,0.655,0.3
APU0000702111,1989,M05,1989 May,0.655,0.5
