Series ID,Year,Period,Label,Value,3-Month % Change
APU0000706111,1984,M01,1984 Jan,0.839,13.8
APU0000706111,1984,M02,1984 Feb,0.867,13.2
APU0000706111,1984,M03,1984 Mar,0.848,4.4
APU0000706111,1984,M04,1984 Apr,0.844,0.6
APU0000706111,1984,M05,1984 May,0.811,-6.5
APU0000706111,1984,M06,1984 Jun,0.817,-3.7
APU0000706111,1984,M07,1984 Jul,0.829,-1.8
APU0000706111,1984,M08,1984 Aug,0.788,-2.8
APU0000706111,1984,M09,1984 Sep,0.790,-3.3
APU0000706111,1984,M10,1984 Oct,0.764,-7.8
APU0000706111,1984,M11,1984 Nov,0.771,-2.2
APU0000706111,1984,M12,1984 Dec,0.753,-4.7
APU0000706111,1985,M01,1985 Jan,0.773,1.2
APU0000706111,1985,M02,1985 Feb,0.772,0.1
APU0000706111,1985,M03,1985 Mar,0.769,2.1
APU0000706111,1985,M04,1985 Apr,0.764,-1.2
APU0000706111,1985,M05,1985 May,0.745,-3.5
APU0000706111,1985,M06,1985 Jun,0.761,-1.0
APU0000706111,1985,M07,1985 Jul,0.753,-1.4
APU0000706111,1985,M08,1985 Aug,0.757,1.6
APU0000706111,1985,M09,1985 Sep,0.762,0.1
APU0000706111,1985,M10,1985 Oct,0.749,-0.5
APU0000706111,1985,M11,1985 Nov,0.778,2.8
APU0000706111,1985,M12,1985 Dec,0.776,1.8
APU0000706111,1986,M01,1986 Jan,0.766,2.3
APU0000706111,1986,M02,1986 Feb,0.771,-0.9
APU0000706111,1986,M03,1986 Mar,0.767,-1.2
APU0000706111,1986,M04,1986 Apr,0.752,-1.8
APU0000706111,1986,M05,1986 May,0.769,-0.3
APU0000706111,1986,M06,1986 Jun,0.795,3.7
APU0000706111,1986,M07,1986 Jul,0.889,18.2
APU0000706111,1986,M08,1986 Aug,0.958,24.6
APU0000706111,1986,M09,1986 Sep,0.910,14.5
APU0000706111,1986,M10,1986 Oct,0.900,1.2
APU0000706111,1986,M11,1986 Nov,0.878,-8.4
APU0000706111,1986,M12,1986 Dec,0.865,-4.9
APU0000706111,1987,M01,1987 Jan,0.821,-8.8
APU0000706111,1987,M02,1987 Feb,0.832,-5.2
APU0000706111,1987,M03,1987 Mar,0.804,-7.1
APU0000706111,1987,M04,1987 Apr,0.792,-3.5
APU0000706111,1987,M05,1987 May,0.782,-6.0
APU0000706111,1987,M06,1987 Jun,0.771,-4.1
APU0000706111,1987,M07,1987 Jul,0.755,-4.7
APU0000706111,1987,M08,1987 Aug,0.785,0.4
APU0000706111,1987,M09,1987 Sep,0.793,2.9
APU0000706111,1987,M10,1987 Oct,0.791,4.8
