Series ID,Year,Period,Label,Value,3-Month % Change
APU000072610,1984,M01,1984 Jan,0.078,-2.5
APU000072610,1984,M02,1984 Feb,0.079,2.6
APU000072610,1984,M03,1984 Mar,0.079,2.6
APU000072610,1984,M04,1984 Apr,0.080,2.6
APU000072610,1984,M05,1984 May,0.081,2.5
APU000072610,1984,M06,1984 Jun,0.086,8.9
APU000072610,1984,M07,1984 Jul,0.087,8.8
APU000072610,1984,M08,1984 Aug,0.089,9.9
APU000072610,1984,M09,1984 Sep,0.084,-2.3
APU000072610,1984,M10,1984 Oct,0.081,-6.9
APU000072610,1984,M11,1984 Nov,0.079,-11.2
APU000072610,1984,M12,1984 Dec,0.078,-7.1
APU000072610,1985,M01,1985 Jan,0.079,-2.5
APU000072610,1985,M02,1985 Feb,0.079,0.0
APU000072610,1985,M03,1985 Mar,0.079,1.3
APU000072610,1985,M04,1985 Apr,0.080,1.3
APU000072610,1985,M05,1985 May,0.080,1.3
APU000072610,1985,M06,1985 Jun,0.085,7.6
APU000072610,1985,M07,1985 Jul,0.085,6.3
APU000072610,1985,M08,1985 Aug,0.085,6.3
APU000072610,1985,M10,1985 Oct,0.082,-3.5
APU000072610,1985,M11,1985 Nov,0.080,-5.9
APU000072610,1985,M12,1985 Dec,0.080,N/A
APU000072610,1986,M01,1986 Jan,0.081,-1.2
APU000072610,1986,M02,1986 Feb,0.075,-6.3
APU000072610,1986,M03,1986 Mar,0.075,-6.3
APU000072610,1986,M04,1986 Apr,0.074,-8.6
APU000072610,1986,M05,1986 May,0.074,-1.3
APU000072610,1986,M06,1986 Jun,0.080,6.7
APU000072610,1986,M07,1986 Jul,0.080,8.1
APU000072610,1986,M08,1986 Aug,0.080,8.1
APU000072610,1986,M09,1986 Sep,0.080,0.0
APU000072610,1986,M10,1986 Oct,0.074,-7.5
APU000072610,1986,M11,1986 Nov,0.073,-8.8
APU000072610,1986,M12,1986 Dec,0.073,-8.8
APU000072610,1987,M01,1987 Jan,0.075,1.4
APU000072610,1987,M02,1987 Feb,0.076,4.1
APU000072610,1987,M03,1987 Mar,0.076,4.1
APU000072610,1987,M04,1987 Apr,0.076,1.3
APU000072610,1987,M05,1987 May,0.076,0.0
APU000072610,1987,M06,1987 Jun,0.084,10.5
APU000072610,1987,M07,1987 Jul,0.084,10.5
APU000072610,1987,M08,1987 Aug,0.085,11.8
APU000072610,1987,M09,1987 Sep,0.084,0.0
APU000072610,1987,M10,1987 Oct,0.078,-7.1
APU000072610,1987,M11,1987 Nov,0.077,-9.4
APU000072610,1987,M12,1987 Dec,0.077,-8.3
APU000072610,1988,M01,1988 Jan,0.078,0.0
APU000072610,1988,M02,1988 Feb,0.078,1.3
APU000072610,1988,M03,1988 Mar,0.078,1.3
APU000072610,1988,M04,1988 Apr,0.077,-1.3
APU000072610,1988,M05,1988 May,0.077,-1.3
APU000072610,1988,M06,1988 Jun,0.084,7.7
APU000072610,1988,M07,1988 Jul,0.084,9.1
APU000072610,1988,M08,1988 Aug,0.084,9.1
APU000072610,1988,M09,1988 Sep,0.084,0.0
APU000072610,1988,M10,1988 Oct,0.080,-4.8
APU000072610,1988,M11,1988 Nov,0.078,-7.1
APU000072610,1988,M12,1988 Dec,0.078,-7.1
APU000072610,1989,M01,1989 Jan,0.079,-1.3
APU000072610,1989,M02,1989 Feb,0.079,1.3
APU000072610,1989,M03,1989 Mar,0.079,1.3
APU000072610,1989,M04,1989 Apr,0.079,0.0
APU000072610,1989,M05,1989 May,0.080,1.3
APU000072610,1989,M06,1989 Jun,0.086,8.9
APU000072610,1989,M07,1989 Jul,0.086,8.9
APU000072610,1989,M08,1989 Aug,0.086,7.5
APU000072610,1989,M09,1989 Sep,0.086,0.0
APU000072610,1989,M10,1989 Oct,0.081,-5.8
APU000072610,1989,M11,1989 Nov,0.080,-7.0
APU000072610,1989,M12,1989 Dec,0.081,-5.8
APU000072610,1990,M01,1990 Jan,0.081,0.0
APU000072610,1990,M02,1990 Feb,0.081,1.3
APU000072610,1990,M03,1990 Mar,0.081,0.0
APU000072610,1990,M04,1990 Apr,0.082,1.2
APU000072610,1990,M05,1990 May,0.082,1.2
APU000072610,1990,M06,1990 Jun,0.088,8.6
APU000072610,1990,M07,1990 Jul,0.087,6.1
APU000072610,1990,M08,1990 Aug,0.087,6.1
APU000072610,1990,M09,1990 Sep,0.088,0.0
APU000072610,1990,M10,1990 Oct,0.083,-4.6
APU000072610,1990,M11,1990 Nov,0.082,-5.7
APU000072610,1990,M12,1990 Dec,0.082,-6.8
APU000072610,1991,M01,1991 Jan,0.084,1.2
APU000072610,1991,M02,1991 Feb,0.084,2.4
APU000072610,1991,M03,1991 Mar,0.085,3.7
APU000072610,1991,M04,1991 Apr,0.084,0.0
APU000072610,1991,M05,1991 May,0.085,1.2
APU000072610,1991,M06,1991 Jun,0.090,5.9
APU000072610,1991,M07,1991 Jul,0.091,8.3
APU000072610,1991,M08,1991 Aug,0.090,5.9
APU000072610,1991,M09,1991 Sep,0.091,1.1
APU000072610,1991,M10,1991 Oct,0.087,-4.4
APU000072610,1991,M11,1991 Nov,0.084,-6.7
APU000072610,1991,M12,1991 Dec,0.085,-6.6
APU000072610,1992,M01,1992 Jan,0.085,-2.3
APU000072610,1992,M02,1992 Feb,0.084,0.0
APU000072610,1992,M03,1992 Mar,0.086,1.2
APU000072610,1992,M04,1992 Apr,0.086,1.2
APU000072610,1992,M05,1992 May,0.087,3.6
APU000072610,1992,M06,1992 Jun,0.092,7.0
APU000072610,1992,M07,1992 Jul,0.092,7.0
APU000072610,1992,M08,1992 Aug,0.091,4.6
APU000072610,1992,M09,1992 Sep,0.092,0.0
APU000072610,1992,M10,1992 Oct,0.088,-4.3
APU000072610,1992,M11,1992 Nov,0.086,-5.5
APU000072610,1992,M12,1992 Dec,0.088,-4.3
APU000072610,1993,M01,1993 Jan,0.089,1.1
APU000072610,1993,M02,1993 Feb,0.087,1.2
APU000072610,1993,M03,1993 Mar,0.088,0.0
APU000072610,1993,M04,1993 Apr,0.088,-1.1
APU000072610,1993,M05,1993 May,0.090,3.4
APU000072610,1993,M06,1993 Jun,0.094,6.8
APU000072610,1993,M07,1993 Jul,0.095,8.0
APU000072610,1993,M08,1993 Aug,0.097,7.8
APU000072610,1993,M09,1993 Sep,0.097,3.2
APU000072610,1993,M10,1993 Oct,0.093,-2.1
APU000072610,1993,M11,1993 Nov,0.091,-6.2
APU000072610,1993,M12,1993 Dec,0.090,-7.2
APU000072610,1994,M01,1994 Jan,0.090,-3.2
APU000072610,1994,M02,1994 Feb,0.090,-1.1
APU000072610,1994,M03,1994 Mar,0.089,-1.1
APU000072610,1994,M04,1994 Apr,0.088,-2.2
APU000072610,1994,M05,1994 May,0.090,0.0
APU000072610,1994,M06,1994 Jun,0.095,6.7
APU000072610,1994,M07,1994 Jul,0.095,8.0
APU000072610,1994,M08,1994 Aug,0.096,6.7
APU000072610,1994,M09,1994 Sep,0.096,1.1
APU000072610,1994,M10,1994 Oct,0.093,-2.1
APU000072610,1994,M11,1994 Nov,0.091,-5.2
APU000072610,1994,M12,1994 Dec,0.091,-5.2
APU000072610,1995,M01,1995 Jan,0.091,-2.2
APU000072610,1995,M02,1995 Feb,0.091,0.0
APU000072610,1995,M03,1995 Mar,0.091,0.0
APU000072610,1995,M04,1995 Apr,0.090,-1.1
APU000072610,1995,M05,1995 May,0.092,1.1
APU000072610,1995,M06,1995 Jun,0.098,7.7
APU000072610,1995,M07,1995 Jul,0.098,8.9
APU000072610,1995,M08,1995 Aug,0.098,6.5
APU000072610,1995,M09,1995 Sep,0.097,-1.0
APU000072610,1995,M10,1995 Oct,0.094,-4.1
APU000072610,1995,M11,1995 Nov,0.092,-6.1
APU000072610,1995,M12,1995 Dec,0.091,-6.2
APU000072610,1996,M01,1996 Jan,0.091,-3.2
APU000072610,1996,M02,1996 Feb,0.091,-1.1
APU000072610,1996,M03,1996 Mar,0.092,1.1
APU000072610,1996,M04,1996 Apr,0.092,1.1
APU000072610,1996,M05,1996 May,0.092,1.1
APU000072610,1996,M06,1996 Jun,0.096,4.3
APU000072610,1996,M07,1996 Jul,0.099,7.6
APU000072610,1996,M08,1996 Aug,0.099,7.6
APU000072610,1996,M09,1996 Sep,0.099,3.1
APU000072610,1996,M10,1996 Oct,0.095,-4.0
APU000072610,1996,M11,1996 Nov,0.092,-7.1
APU000072610,1996,M12,1996 Dec,0.092,-7.1
APU000072610,1997,M01,1997 Jan,0.092,-3.2
APU000072610,1997,M02,1997 Feb,0.092,0.0
APU000072610,1997,M03,1997 Mar,0.093,1.1
APU000072610,1997,M04,1997 Apr,0.092,0.0
APU000072610,1997,M05,1997 May,0.093,1.1
APU000072610,1997,M06,1997 Jun,0.099,6.5
APU000072610,1997,M07,1997 Jul,0.099,7.6
APU000072610,1997,M08,1997 Aug,0.098,5.4
APU000072610,1997,M09,1997 Sep,0.099,0.0
APU000072610,1997,M10,1997 Oct,0.093,-6.1
APU000072610,1997,M11,1997 Nov,0.092,-6.1
APU000072610,1997,M12,1997 Dec,0.090,-9.1
APU000072610,1998,M01,1998 Jan,0.086,-7.5
APU000072610,1998,M02,1998 Feb,0.085,-7.6
APU000072610,1998,M03,1998 Mar,0.085,-5.6
APU000072610,1998,M04,1998 Apr,0.085,-1.2
APU000072610,1998,M05,1998 May,0.086,1.2
APU000072610,1998,M06,1998 Jun,0.091,7.1
APU000072610,1998,M07,1998 Jul,0.091,7.1
APU000072610,1998,M08,1998 Aug,0.090,4.7
APU000072610,1998,M09,1998 Sep,0.089,-2.2
APU000072610,1998,M10,1998 Oct,0.086,-5.5
APU000072610,1998,M11,1998 Nov,0.084,-6.7
APU000072610,1998,M12,1998 Dec,0.084,-5.6
APU000072610,1999,M01,1999 Jan,0.084,-2.3
APU000072610,1999,M02,1999 Feb,0.084,0.0
APU000072610,1999,M03,1999 Mar,0.084,0.0
APU000072610,1999,M04,1999 Apr,0.084,0.0
APU000072610,1999,M05,1999 May,0.085,1.2
APU000072610,1999,M06,1999 Jun,0.089,6.0
APU000072610,1999,M07,1999 Jul,0.090,7.1
APU000072610,1999,M08,1999 Aug,0.089,4.7
APU000072610,1999,M09,1999 Sep,0.090,1.1
APU000072610,1999,M10,1999 Oct,0.087,-3.3
APU000072610,1999,M11,1999 Nov,0.085,-4.5
APU000072610,1999,M12,1999 Dec,0.085,-5.6
APU000072610,2000,M01,2000 Jan,0.084,-3.4
APU000072610,2000,M02,2000 Feb,0.085,0.0
APU000072610,2000,M03,2000 Mar,0.085,0.0
APU000072610,2000,M04,2000 Apr,0.085,1.2
APU000072610,2000,M05,2000 May,0.085,0.0
APU000072610,2000,M06,2000 Jun,0.090,5.9
APU000072610,2000,M07,2000 Jul,0.091,7.1
APU000072610,2000,M08,2000 Aug,0.091,7.1
APU000072610,2000,M09,2000 Sep,0.091,1.1
APU000072610,2000,M10,2000 Oct,0.088,-3.3
APU000072610,2000,M11,2000 Nov,0.086,-5.5
APU000072610,2000,M12,2000 Dec,0.086,-5.5
APU000072610,2001,M01,2001 Jan,0.088,0.0
APU000072610,2001,M02,2001 Feb,0.088,2.3
APU000072610,2001,M03,2001 Mar,0.089,3.5
APU000072610,2001,M04,2001 Apr,0.089,1.1
APU000072610,2001,M05,2001 May,0.090,2.3
APU000072610,2001,M06,2001 Jun,0.097,9.0
APU000072610,2001,M07,2001 Jul,0.099,11.2
APU000072610,2001,M08,2001 Aug,0.098,8.9
APU000072610,2001,M09,2001 Sep,0.097,0.0
APU000072610,2001,M10,2001 Oct,0.093,-6.1
APU000072610,2001,M11,2001 Nov,0.090,-8.2
APU000072610,2001,M12,2001 Dec,0.090,-7.2
APU000072610,2002,M01,2002 Jan,0.089,-4.3
APU000072610,2002,M02,2002 Feb,0.089,-1.1
APU000072610,2002,M03,2002 Mar,0.089,-1.1
APU000072610,2002,M04,2002 Apr,0.088,-1.1
APU000072610,2002,M05,2002 May,0.089,0.0
APU000072610,2002,M06,2002 Jun,0.095,6.7
APU000072610,2002,M07,2002 Jul,0.095,8.0
APU000072610,2002,M08,2002 Aug,0.095,6.7
APU000072610,2002,M09,2002 Sep,0.095,0.0
APU000072610,2002,M10,2002 Oct,0.091,-4.2
APU000072610,2002,M11,2002 Nov,0.089,-6.3
APU000072610,2002,M12,2002 Dec,0.089,-6.3
APU000072610,2003,M01,2003 Jan,0.089,-2.2
APU000072610,2003,M02,2003 Feb,0.089,0.0
APU000072610,2003,M03,2003 Mar,0.089,0.0
APU000072610,2003,M04,2003 Apr,0.091,2.2
APU000072610,2003,M05,2003 May,0.092,3.4
APU000072610,2003,M06,2003 Jun,0.097,9.0
