Series ID,Year,Period,Label,Value,3-Month % Change
APU0000701111,1984,M01,1984 Jan,0.213,-2.7
APU0000701111,1984,M02,1984 Feb,0.216,-0.5
APU0000701111,1984,M03,1984 Mar,0.216,2.4
APU0000701111,1984,M04,1984 Apr,0.215,0.9
APU0000701111,1984,M05,1984 May,0.215,-0.5
APU0000701111,1984,M06,1984 Jun,0.217,0.5
APU0000701111,1984,M07,1984 Jul,0.219,1.9
APU0000701111,1984,M08,1984 Aug,0.215,0.0
APU0000701111,1984,M09,1984 Sep,0.212,-2.3
APU0000701111,1984,M10,1984 Oct,0.211,-3.7
APU0000701111,1984,M11,1984 Nov,0.208,-3.3
APU0000701111,1984,M12,1984 Dec,0.204,-3.8
APU0000701111,1985,M01,1985 Jan,0.212,0.5
APU0000701111,1985,M02,1985 Feb,0.213,2.4
APU0000701111,1985,M03,1985 Mar,0.212,3.9
APU0000701111,1985,M04,1985 Apr,0.211,-0.5
APU0000701111,1985,M05,1985 May,0.215,0.9
APU0000701111,1985,M06,1985 Jun,0.216,1.9
APU0000701111,1985,M07,1985 Jul,0.216,2.4
APU0000701111,1985,M08,1985 Aug,0.216,0.5
APU0000701111,1985,M09,1985 Sep,0.212,-1.9
APU0000701111,1985,M10,1985 Oct,0.211,-2.3
APU0000701111,1985,M11,1985 Nov,0.207,-4.2
APU0000701111,1985,M12,1985 Dec,0.202,-4.7
APU0000701111,1986,M01,1986 Jan,0.207,-1.9
APU0000701111,1986,M02,1986 Feb,0.209,1.0
APU0000701111,1986,M03,1986 Mar,0.208,3.0
APU0000701111,1986,M04,1986 Apr,0.206,-0.5
APU0000701111,1986,M05,1986 May,0.211,1.0
APU0000701111,1986,M06,1986 Jun,0.214,2.9
APU0000701111,1986,M07,1986 Jul,0.214,3.9
APU0000701111,1986,M08,1986 Aug,0.215,1.9
APU0000701111,1986,M09,1986 Sep,0.211,-1.4
APU0000701111,1986,M10,1986 Oct,0.208,-2.8
APU0000701111,1986,M11,1986 Nov,0.200,-7.0
APU0000701111,1986,M12,1986 Dec,0.198,-6.2
APU0000701111,1987,M01,1987 Jan,0.202,-2.9
APU0000701111,1987,M02,1987 Feb,0.211,5.5
APU0000701111,1987,M03,1987 Mar,0.202,2.0
APU0000701111,1987,M04,1987 Apr,0.202,0.0
APU0000701111,1987,M05,1987 May,0.208,-1.4
APU0000701111,1987,M06,1987 Jun,0.208,3.0
APU0000701111,1987,M07,1987 Jul,0.213,5.4
APU0000701111,1987,M08,1987 Aug,0.211,1.4
APU0000701111,1987,M09,1987 Sep,0.207,-0.5
APU0000701111,1987,M10,1987 Oct,0.203,-4.7
APU0000701111,1987,M11,1987 Nov,0.200,-5.2
APU0000701111,1987,M12,1987 Dec,0.198,-4.3
APU0000701111,1988,M01,1988 Jan,0.202,-0.5
APU0000701111,1988,M02,1988 Feb,0.199,-0.5
APU0000701111,1988,M03,1988 Mar,0.202,2.0
APU0000701111,1988,M04,1988 Apr,0.199,-1.5
APU0000701111,1988,M05,1988 May,0.208,4.5
APU0000701111,1988,M06,1988 Jun,0.210,4.0
APU0000701111,1988,M07,1988 Jul,0.215,8.0
APU0000701111,1988,M08,1988 Aug,0.227,9.1
APU0000701111,1988,M09,1988 Sep,0.233,11.0
APU0000701111,1988,M10,1988 Oct,0.231,7.4
APU0000701111,1988,M11,1988 Nov,0.220,-3.1
APU0000701111,1988,M12,1988 Dec,0.223,-4.3
APU0000701111,1989,M01,1989 Jan,0.228,-1.3
APU0000701111,1989,M02,1989 Feb,0.233,5.9
APU0000701111,1989,M03,1989 Mar,0.234,4.9
APU0000701111,1989,M04,1989 Apr,0.238,4.4
APU0000701111,1989,M05,1989 May,0.241,3.4
APU0000701111,1989,M06,1989 Jun,0.246,5.1
APU0000701111,1989,M07,1989 Jul,0.254,6.7
APU0000701111,1989,M08,1989 Aug,0.258,7.1
APU0000701111,1989,M09,1989 Sep,0.256,4.1
APU0000701111,1989,M10,1989 Oct,0.255,0.4
APU0000701111,1989,M11,1989 Nov,0.248,-3.9
APU0000701111,1989,M12,1989 Dec,0.244,-4.7
APU0000701111,1990,M01,1990 Jan,0.253,-0.8
APU0000701111,1990,M02,1990 Feb,0.249,0.4
APU0000701111,1990,M03,1990 Mar,0.252,3.3
APU0000701111,1990,M04,1990 Apr,0.251,-0.8
APU0000701111,1990,M05,1990 May,0.254,2.0
APU0000701111,1990,M06,1990 Jun,0.259,2.8
APU0000701111,1990,M07,1990 Jul,0.260,3.6
APU0000701111,1990,M08,1990 Aug,0.255,0.4
APU0000701111,1990,M09,1990 Sep,0.249,-3.9
APU0000701111,1990,M10,1990 Oct,0.244,-6.2
APU0000701111,1990,M11,1990 Nov,0.235,-7.8
APU0000701111,1990,M12,1990 Dec,0.236,-5.2
APU0000701111,1991,M01,1991 Jan,0.244,0.0
APU0000701111,1991,M02,1991 Feb,0.235,0.0
APU0000701111,1991,M03,1991 Mar,0.235,-0.4
APU0000701111,1991,M04,1991 Apr,0.237,-2.9
APU0000701111,1991,M05,1991 May,0.235,0.0
