Series ID,Year,Period,Label,Value,3-Month % Change
APU000074714,1984,M01,1984 Jan,1.216,-3.1
APU000074714,1984,M02,1984 Feb,1.209,-2.6
APU000074714,1984,M03,1984 Mar,1.210,-1.7
APU000074714,1984,M04,1984 Apr,1.227,0.9
APU000074714,1984,M05,1984 May,1.236,2.2
APU000074714,1984,M06,1984 Jun,1.229,1.6
APU000074714,1984,M07,1984 Jul,1.212,-1.2
APU000074714,1984,M08,1984 Aug,1.196,-3.2
APU000074714,1984,M09,1984 Sep,1.203,-2.1
APU000074714,1984,M10,1984 Oct,1.209,-0.2
APU000074714,1984,M11,1984 Nov,1.207,0.9
APU000074714,1984,M12,1984 Dec,1.193,-0.8
APU000074714,1985,M01,1985 Jan,1.148,-5.0
APU000074714,1985,M02,1985 Feb,1.131,-6.3
APU000074714,1985,M03,1985 Mar,1.159,-2.8
APU000074714,1985,M04,1985 Apr,1.205,5.0
APU000074714,1985,M05,1985 May,1.231,8.8
APU000074714,1985,M06,1985 Jun,1.241,7.1
APU000074714,1985,M07,1985 Jul,1.242,3.1
APU000074714,1985,M08,1985 Aug,1.229,-0.2
APU000074714,1985,M09,1985 Sep,1.216,-2.0
APU000074714,1985,M10,1985 Oct,1.204,-3.1
APU000074714,1985,M11,1985 Nov,1.207,-1.8
APU000074714,1985,M12,1985 Dec,1.208,-0.7
APU000074714,1986,M01,1986 Jan,1.194,-0.8
APU000074714,1986,M02,1986 Feb,1.120,-7.2
APU000074714,1986,M03,1986 Mar,0.981,-18.8
APU000074714,1986,M04,1986 Apr,0.888,-25.6
APU000074714,1986,M05,1986 May,0.923,-17.6
APU000074714,1986,M06,1986 Jun,0.955,-2.7
APU000074714,1986,M07,1986 Jul,0.890,0.2
APU000074714,1986,M08,1986 Aug,0.843,-8.7
APU000074714,1986,M09,1986 Sep,0.860,-9.9
APU000074714,1986,M10,1986 Oct,0.831,-6.6
APU000074714,1986,M11,1986 Nov,0.821,-2.6
APU000074714,1986,M12,1986 Dec,0.823,-4.3
