Series ID,Year,Period,Label,Value,3-Month % Change
APU000072620,1984,M01,1984 Jan,0.638,-1.5
APU000072620,1984,M02,1984 Feb,0.641,-0.8
APU000072620,1984,M03,1984 Mar,0.642,-1.1
APU000072620,1984,M04,1984 Apr,0.643,0.8
APU000072620,1984,M05,1984 May,0.660,3.0
APU000072620,1984,M06,1984 Jun,0.658,2.5
APU000072620,1984,M07,1984 Jul,0.659,2.5
APU000072620,1984,M08,1984 Aug,0.661,0.2
APU000072620,1984,M09,1984 Sep,0.648,-1.5
APU000072620,1984,M10,1984 Oct,0.646,-2.0
APU000072620,1984,M11,1984 Nov,0.636,-3.8
APU000072620,1984,M12,1984 Dec,0.635,-2.0
APU000072620,1985,M01,1985 Jan,0.636,-1.5
APU000072620,1985,M02,1985 Feb,0.630,-0.9
APU000072620,1985,M03,1985 Mar,0.638,0.5
APU000072620,1985,M04,1985 Apr,0.637,0.2
APU000072620,1985,M05,1985 May,0.652,3.5
APU000072620,1985,M06,1985 Jun,0.648,1.6
APU000072620,1985,M07,1985 Jul,0.642,0.8
APU000072620,1985,M08,1985 Aug,0.620,-4.9
APU000072620,1985,M10,1985 Oct,0.625,-2.6
APU000072620,1985,M11,1985 Nov,0.613,-1.1
APU000072620,1985,M12,1985 Dec,0.609,N/A
APU000072620,1986,M01,1986 Jan,0.610,-2.4
APU000072620,1986,M02,1986 Feb,0.599,-2.3
APU000072620,1986,M03,1986 Mar,0.601,-1.3
APU000072620,1986,M04,1986 Apr,0.597,-2.1
APU000072620,1986,M05,1986 May,0.627,4.7
APU000072620,1986,M06,1986 Jun,0.628,4.5
APU000072620,1986,M07,1986 Jul,0.601,0.7
APU000072620,1986,M08,1986 Aug,0.611,-2.6
APU000072620,1986,M09,1986 Sep,0.591,-5.9
APU000072620,1986,M10,1986 Oct,0.599,-0.3
APU000072620,1986,M11,1986 Nov,0.553,-9.5
APU000072620,1986,M12,1986 Dec,0.565,-4.4
APU000072620,1987,M01,1987 Jan,0.578,-3.5
APU000072620,1987,M02,1987 Feb,0.579,4.7
APU000072620,1987,M03,1987 Mar,0.574,1.6
APU000072620,1987,M04,1987 Apr,0.571,-1.2
APU000072620,1987,M05,1987 May,0.597,3.1
APU000072620,1987,M06,1987 Jun,0.597,4.0
APU000072620,1987,M07,1987 Jul,0.578,1.2
APU000072620,1987,M08,1987 Aug,0.588,-1.5
APU000072620,1987,M09,1987 Sep,0.581,-2.7
APU000072620,1987,M10,1987 Oct,0.578,0.0
APU000072620,1987,M11,1987 Nov,0.559,-4.9
APU000072620,1987,M12,1987 Dec,0.558,-4.0
APU000072620,1988,M01,1988 Jan,0.570,-1.4
APU000072620,1988,M02,1988 Feb,0.572,2.3
APU000072620,1988,M03,1988 Mar,0.568,1.8
APU000072620,1988,M04,1988 Apr,0.566,-0.7
APU000072620,1988,M05,1988 May,0.599,4.7
APU000072620,1988,M06,1988 Jun,0.591,4.0
APU000072620,1988,M07,1988 Jul,0.592,4.6
APU000072620,1988,M08,1988 Aug,0.587,-2.0
APU000072620,1988,M09,1988 Sep,0.589,-0.3
APU000072620,1988,M10,1988 Oct,0.596,0.7
APU000072620,1988,M11,1988 Nov,0.578,-1.5
APU000072620,1988,M12,1988 Dec,0.577,-2.0
APU000072620,1989,M01,1989 Jan,0.587,-1.5
APU000072620,1989,M02,1989 Feb,0.589,1.9
APU000072620,1989,M03,1989 Mar,0.586,1.6
APU000072620,1989,M04,1989 Apr,0.584,-0.5
APU000072620,1989,M05,1989 May,0.597,1.4
APU000072620,1989,M06,1989 Jun,0.594,1.4
APU000072620,1989,M07,1989 Jul,0.590,1.0
APU000072620,1989,M08,1989 Aug,0.591,-1.0
APU000072620,1989,M09,1989 Sep,0.586,-1.3
APU000072620,1989,M10,1989 Oct,0.596,1.0
APU000072620,1989,M11,1989 Nov,0.586,-0.8
APU000072620,1989,M12,1989 Dec,0.592,1.0
APU000072620,1990,M01,1990 Jan,0.599,0.5
APU000072620,1990,M02,1990 Feb,0.603,2.9
APU000072620,1990,M03,1990 Mar,0.596,0.7
APU000072620,1990,M04,1990 Apr,0.570,-4.8
APU000072620,1990,M05,1990 May,0.581,-3.6
APU000072620,1990,M06,1990 Jun,0.588,-1.3
APU000072620,1990,M07,1990 Jul,0.576,1.1
APU000072620,1990,M08,1990 Aug,0.578,-0.5
APU000072620,1990,M09,1990 Sep,0.585,-0.5
APU000072620,1990,M10,1990 Oct,0.591,2.6
APU000072620,1990,M11,1990 Nov,0.596,3.1
APU000072620,1990,M12,1990 Dec,0.605,3.4
APU000072620,1991,M01,1991 Jan,0.617,4.4
APU000072620,1991,M02,1991 Feb,0.608,2.0
APU000072620,1991,M03,1991 Mar,0.599,-1.0
APU000072620,1991,M04,1991 Apr,0.587,-4.9
APU000072620,1991,M05,1991 May,0.598,-1.6
APU000072620,1991,M06,1991 Jun,0.586,-2.2
APU000072620,1991,M07,1991 Jul,0.589,0.3
APU000072620,1991,M08,1991 Aug,0.584,-2.3
APU000072620,1991,M09,1991 Sep,0.589,0.5
APU000072620,1991,M10,1991 Oct,0.598,1.5
APU000072620,1991,M11,1991 Nov,0.604,3.4
APU000072620,1991,M12,1991 Dec,0.606,2.9
APU000072620,1992,M01,1992 Jan,0.611,2.2
APU000072620,1992,M02,1992 Feb,0.600,-0.7
APU000072620,1992,M03,1992 Mar,0.567,-6.4
APU000072620,1992,M04,1992 Apr,0.575,-5.9
APU000072620,1992,M05,1992 May,0.580,-3.3
APU000072620,1992,M06,1992 Jun,0.582,2.6
APU000072620,1992,M07,1992 Jul,0.586,1.9
APU000072620,1992,M08,1992 Aug,0.582,0.3
APU000072620,1992,M09,1992 Sep,0.604,3.8
APU000072620,1992,M10,1992 Oct,0.614,4.8
APU000072620,1992,M11,1992 Nov,0.623,7.0
APU000072620,1992,M12,1992 Dec,0.623,3.1
APU000072620,1993,M01,1993 Jan,0.627,2.1
APU000072620,1993,M02,1993 Feb,0.619,-0.6
APU000072620,1993,M03,1993 Mar,0.616,-1.1
APU000072620,1993,M04,1993 Apr,0.616,-1.8
APU000072620,1993,M05,1993 May,0.628,1.5
APU000072620,1993,M06,1993 Jun,0.636,3.2
APU000072620,1993,M07,1993 Jul,0.635,3.1
APU000072620,1993,M08,1993 Aug,0.638,1.6
APU000072620,1993,M09,1993 Sep,0.646,1.6
APU000072620,1993,M10,1993 Oct,0.648,2.0
APU000072620,1993,M11,1993 Nov,0.645,1.1
APU000072620,1993,M12,1993 Dec,0.662,2.5
APU000072620,1994,M01,1994 Jan,0.662,2.2
APU000072620,1994,M02,1994 Feb,0.661,2.5
APU000072620,1994,M03,1994 Mar,0.666,0.6
APU000072620,1994,M04,1994 Apr,0.663,0.2
APU000072620,1994,M05,1994 May,0.650,-1.7
APU000072620,1994,M06,1994 Jun,0.642,-3.6
APU000072620,1994,M07,1994 Jul,0.638,-3.8
APU000072620,1994,M08,1994 Aug,0.640,-1.5
APU000072620,1994,M09,1994 Sep,0.639,-0.5
APU000072620,1994,M10,1994 Oct,0.636,-0.3
APU000072620,1994,M11,1994 Nov,0.639,-0.2
APU000072620,1994,M12,1994 Dec,0.647,1.3
APU000072620,1995,M01,1995 Jan,0.645,1.4
APU000072620,1995,M02,1995 Feb,0.640,0.2
APU000072620,1995,M03,1995 Mar,0.629,-2.8
APU000072620,1995,M04,1995 Apr,0.629,-2.5
APU000072620,1995,M05,1995 May,0.617,-3.6
APU000072620,1995,M06,1995 Jun,0.608,-3.3
APU000072620,1995,M07,1995 Jul,0.608,-3.3
APU000072620,1995,M08,1995 Aug,0.602,-2.4
APU000072620,1995,M09,1995 Sep,0.605,-0.5
