Series ID,Year,Period,Label,Value,3-Month % Change
CUSR0000SAS2RS,1990,M01,1990 Jan,141.7, N/A
CUSR0000SAS2RS,1990,M02,1990 Feb,142.0,N/A
CUSR0000SAS2RS,1990,M03,1990 Mar,143.1,N/A
CUSR0000SAS2RS,1990,M04,1990 Apr,143.7,1.4
CUSR0000SAS2RS,1990,M05,1990 May,144.1,1.5
CUSR0000SAS2RS,1990,M06,1990 Jun,145.2,1.5
CUSR0000SAS2RS,1990,M07,1990 Jul,146.2,1.7
CUSR0000SAS2RS,1990,M08,1990 Aug,147.6,2.4
CUSR0000SAS2RS,1990,M09,1990 Sep,147.8,1.8
CUSR0000SAS2RS,1990,M10,1990 Oct,148.1,1.3
CUSR0000SAS2RS,1990,M11,1990 Nov,148.4,0.5
CUSR0000SAS2RS,1990,M12,1990 Dec,148.9,0.7
CUSR0000SAS2RS,1991,M01,1991 Jan,149.9,1.2
CUSR0000SAS2RS,1991,M02,1991 Feb,150.3,1.3
CUSR0000SAS2RS,1991,M03,1991 Mar,150.7,1.2
CUSR0000SAS2RS,1991,M04,1991 Apr,151.1,0.8
CUSR0000SAS2RS,1991,M05,1991 May,151.4,0.7
CUSR0000SAS2RS,1991,M06,1991 Jun,151.8,0.7
CUSR0000SAS2RS,1991,M07,1991 Jul,152.2,0.7
CUSR0000SAS2RS,1991,M08,1991 Aug,152.6,0.8
CUSR0000SAS2RS,1991,M09,1991 Sep,153.1,0.9
CUSR0000SAS2RS,1991,M10,1991 Oct,153.6,0.9
CUSR0000SAS2RS,1991,M11,1991 Nov,154.2,1.0
CUSR0000SAS2RS,1991,M12,1991 Dec,154.8,1.1
CUSR0000SAS2RS,1992,M01,1992 Jan,155.2,1.0
CUSR0000SAS2RS,1992,M02,1992 Feb,155.6,0.9
CUSR0000SAS2RS,1992,M03,1992 Mar,156.1,0.8
CUSR0000SAS2RS,1992,M04,1992 Apr,156.3,0.7
CUSR0000SAS2RS,1992,M05,1992 May,156.6,0.6
CUSR0000SAS2RS,1992,M06,1992 Jun,157.3,0.8
CUSR0000SAS2RS,1992,M07,1992 Jul,157.5,0.8
CUSR0000SAS2RS,1992,M08,1992 Aug,157.9,0.8
CUSR0000SAS2RS,1992,M09,1992 Sep,157.9,0.4
CUSR0000SAS2RS,1992,M10,1992 Oct,158.7,0.8
CUSR0000SAS2RS,1992,M11,1992 Nov,159.1,0.8
CUSR0000SAS2RS,1992,M12,1992 Dec,159.4,0.9
CUSR0000SAS2RS,1993,M01,1993 Jan,159.9,0.8
CUSR0000SAS2RS,1993,M02,1993 Feb,160.3,0.8
CUSR0000SAS2RS,1993,M03,1993 Mar,160.5,0.7
CUSR0000SAS2RS,1993,M04,1993 Apr,161.2,0.8
CUSR0000SAS2RS,1993,M05,1993 May,161.6,0.8
CUSR0000SAS2RS,1993,M06,1993 Jun,162.1,1.0
CUSR0000SAS2RS,1993,M07,1993 Jul,162.2,0.6
CUSR0000SAS2RS,1993,M08,1993 Aug,162.5,0.6
CUSR0000SAS2RS,1993,M09,1993 Sep,162.9,0.5
CUSR0000SAS2RS,1993,M10,1993 Oct,163.2,0.6
CUSR0000SAS2RS,1993,M11,1993 Nov,163.6,0.7
CUSR0000SAS2RS,1993,M12,1993 Dec,164.3,0.9
CUSR0000SAS2RS,1994,M01,1994 Jan,164.6,0.9
CUSR0000SAS2RS,1994,M02,1994 Feb,165.3,1.0
CUSR0000SAS2RS,1994,M03,1994 Mar,165.7,0.9
CUSR0000SAS2RS,1994,M04,1994 Apr,166.0,0.9
CUSR0000SAS2RS,1994,M05,1994 May,166.3,0.6
CUSR0000SAS2RS,1994,M06,1994 Jun,166.6,0.5
CUSR0000SAS2RS,1994,M07,1994 Jul,166.9,0.5
CUSR0000SAS2RS,1994,M08,1994 Aug,167.7,0.8
CUSR0000SAS2RS,1994,M09,1994 Sep,168.2,1.0
CUSR0000SAS2RS,1994,M10,1994 Oct,168.7,1.1
CUSR0000SAS2RS,1994,M11,1994 Nov,169.1,0.8
CUSR0000SAS2RS,1994,M12,1994 Dec,169.2,0.6
CUSR0000SAS2RS,1995,M01,1995 Jan,169.6,0.5
